Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5snp,8,3P0,5s8p,41712.05,0.05,88,Armstrong1979.JOSA.69.211,2.9006848269700463,3.0208809888633364e-05
5snp,8,3P1,5s8p,41719.71,0.05,88,Armstrong1979.JOSA.69.211,2.8960506306715814,3.0291244968567453e-05
5snp,8,3P2,5s8p,41735.98,0.05,88,Armstrong1979.JOSA.69.211,2.8861654347917494,3.046758794162323e-05
5snp,9,3P0,5s9p,42985.86,0.07,88,Armstrong1979.JOSA.69.211,2.8971265721735007,7.24977354969221e-05
5snp,9,3P1,5s9p,42990.26,0.07,88,Armstrong1979.JOSA.69.211,2.8925645130981845,7.266043897772601e-05
5snp,9,3P2,5s9p,42999.79,0.07,88,Armstrong1979.JOSA.69.211,2.882648327568238,7.301493385868861e-05
5snp,10,3P0,5s10p,43758.65,0.07,88,Armstrong1979.JOSA.69.211,2.8945601050401004,0.00011441797652084834
5snp,10,3P1,5s10p,43761.47,0.07,88,Armstrong1979.JOSA.69.211,2.8899462574138655,0.00011464100985136937
5snp,10,3P2,5s10p,43767.58,0.07,88,Armstrong1979.JOSA.69.211,2.879918674982867,0.0001151267421394809
5snp,11,3P0,5s11p,44262.7,0.07,88,Armstrong1979.JOSA.69.211,2.8925819252531824,0.0001699687416750899
5snp,11,3P1,5s11p,44264.52,0.07,88,Armstrong1979.JOSA.69.211,2.8881591717263735,0.00017024705716437908
5snp,11,3P2,5s11p,44268.72,0.07,88,Armstrong1979.JOSA.69.211,2.877925129623341,0.00017089223055292497
5snp,12,3P0,5s12p,44609.51,0.04,88,Armstrong1979.JOSA.69.211,2.8915026267319064,0.0001377316294840172
5snp,12,3P1,5s12p,44610.85,0.04,88,Armstrong1979.JOSA.69.211,2.886885268931934,0.00013794119598873033
5snp,12,3P2,5s12p,44613.78,0.04,88,Armstrong1979.JOSA.69.211,2.876764593111588,0.0001384012831764883
5snp,13,3P0,5s13p,44858.33,0.03,88,Armstrong1979.JOSA.69.211,2.891192916380895,0.0001412102448677155
5snp,13,3P1,5s13p,44859.32,0.03,88,Armstrong1979.JOSA.69.211,2.88653004204995,0.00014140574253253572
5snp,13,3P2,5s13p,44861.46,0.03,88,Armstrong1979.JOSA.69.211,2.876428608550654,0.0001418298782306481
5snp,14,3P0,5s14p,45043.18,0.02,88,Armstrong1979.JOSA.69.211,2.889848323825321,0.00012498811991842196
5snp,14,3P1,5s14p,45043.89,0.02,88,Armstrong1979.JOSA.69.211,2.8854092034592522,0.00012513799879745706
5snp,14,3P2,5s14p,45045.54,0.02,88,Armstrong1979.JOSA.69.211,2.8750723516766445,0.00012548746816463954
5snp,15,3P0,5s15p,45183.93,0.02,88,Armstrong1979.JOSA.69.211,2.8899321619904548,0.00016186334063516148
5snp,15,3P1,5s15p,45184.54,0.02,88,Armstrong1979.JOSA.69.211,2.884992996517626,0.00016206147229232875
5snp,15,3P2,5s15p,45185.79,0.02,88,Armstrong1979.JOSA.69.211,2.8748528463105423,0.00016246874490191557
5snp,16,3P1,5s16p,45294.22,0.02,88,Armstrong1979.JOSA.69.211,2.884882107636832,0.00020560106879831437
5snp,16,3P2,5s16p,45295.21,0.02,88,Armstrong1979.JOSA.69.211,2.8746944116291395,0.00020608056780673404
5snp,17,3P1,5s17p,45381.46,0.03,88,Armstrong1979.JOSA.69.211,2.8843003775485023,0.0003844799569968996
