Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,10,1S0,5s10s,43512.1658,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2661251874159634,1.4675496188471445e-06
5sns,11,1S0,5s11s,44097.1224,0.0010006922855944561,88,Beigang1982.OC.42.19,3.266990097903559,2.2225082304881145e-06
5sns,12,1S0,5s12s,44492.8348,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268471489297381,3.1993997633153033e-06
5sns,13,1S0,5s13s,44773.6707,0.0010006922855944561,88,Beigang1982.OC.42.19,3.267548322750139,4.430619425476296e-06
5sns,14,1S0,5s14s,44979.454000000005,0.0010006922855944561,88,Beigang1982.OC.42.19,3.267838722372826,5.940995867551866e-06
5sns,15,1S0,5s15s,45134.9242,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268016162789827,7.760899276129459e-06
5sns,16,1S0,5s16s,45255.2295,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268169049514256,9.919054345122838e-06
5sns,17,1S0,5s17s,45350.2296,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2682693805966796,1.2444386882728365e-05
5sns,18,1S0,5s18s,45426.5505,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2683660537189496,1.536563228124152e-05
5sns,19,1S0,5s19s,45488.7868,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2684546343273553,1.8711639429026642e-05
5sns,20,1S0,5s20s,45540.2024,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2685347176450783,2.2511249883708352e-05
5sns,21,1S0,5s21s,45583.1688,0.0010006922855944561,88,Beigang1982.OC.42.19,3.26857908547672,2.6793428958144103e-05
5sns,22,1S0,5s22s,45619.4391,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2686352655307864,3.158682253747927e-05
5sns,23,1S0,5s23s,45650.3365,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268676844933495,3.692039232391342e-05
5sns,24,1S0,5s24s,45676.8704,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268771984346447,4.282257355382858e-05
5sns,26,1S0,5s26s,45719.8235,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268801179785072,5.645009807268577e-05
5sns,28,1S0,5s28s,45752.7832,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2688692966944792,7.269919419336866e-05
5sns,30,1S0,5s30s,45778.6257,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2689384608821435,9.180076413553952e-05
5sns,32,1S0,5s32s,45799.262,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268992475694464,0.00011398566746683757
5sns,34,1S0,5s34s,45816.0028,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268940090585435,0.00013948589610601641
5sns,36,1S0,5s36s,45829.77,0.0010006922855944561,88,Beigang1982.OC.42.19,3.268815269975022,0.0001685321862725717
5sns,37,1S0,5s37s,45835.7511,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2692000319666903,0.00018444955104844117
5sns,38,1S0,5s38s,45841.2259,0.0010006922855944561,88,Beigang1982.OC.42.19,3.269073835119052,0.00020134774647469138
5sns,39,1S0,5s39s,45846.2435,0.0010006922855944561,88,Beigang1982.OC.42.19,3.269766522437294,0.00021923265395679673
5sns,40,1S0,5s40s,45850.86,0.0010006922855944561,88,Beigang1982.OC.42.19,3.269816503755983,0.00023815898625504026
5sns,41,1S0,5s41s,45855.1132,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2701448027901137,0.00025813868558584546
5sns,42,1S0,5s42s,45859.0421,0.0010006922855944561,88,Beigang1982.OC.42.19,3.270267589549853,0.00027921012831456547
5sns,43,1S0,5s43s,45862.6792,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2700796358374333,0.00030140521523927907
5sns,44,1S0,5s44s,45866.0496,0.0010006922855944561,88,Beigang1982.OC.42.19,3.270526111650632,0.0003247312466327838
5sns,45,1S0,5s45s,45869.182,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2705470707080977,0.0003492414257849796
5sns,46,1S0,5s46s,45872.0971,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2705555851125467,0.00037495523115799585
5sns,47,1S0,5s47s,45874.8129,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2711778041402795,0.00040188428051529017
5sns,48,1S0,5s48s,45877.3506,0.0010006922855944561,88,Beigang1982.OC.42.19,3.271025875535784,0.0004300950970833862
5sns,49,1S0,5s49s,45879.7212,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2719282914219363,0.00045956436259898174
5sns,50,1S0,5s50s,45881.9438,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2717013176861514,0.0004903854620929667
5sns,51,1S0,5s51s,45884.0266,0.0010006922855944561,88,Beigang1982.OC.42.19,3.272234823021954,0.0005225296958726273
5sns,52,1S0,5s52s,45885.9825,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2727974606946404,0.000556047786093346
5sns,53,1S0,5s53s,45887.8231,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2725513518606135,0.0005909982729919107
5sns,54,1S0,5s54s,45889.5561,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2721853917472643,0.0006273878993111639
5sns,55,1S0,5s55s,45891.1875,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2731012117278695,0.0006651919795107408
5sns,56,1S0,5s56s,45892.7282,0.0010006922855944561,88,Beigang1982.OC.42.19,3.273244416054979,0.0007045159432264343
5sns,57,1S0,5s57s,45894.1817,0.0010006922855944561,88,Beigang1982.OC.42.19,3.274790406971178,0.0007453015670416716
5sns,58,1S0,5s58s,45895.5596,0.0010006922855944561,88,Beigang1982.OC.42.19,3.273923725853919,0.0007877358545825385
5sns,59,1S0,5s59s,45896.8624,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2742608426477773,0.0008316971098754739
5sns,60,1S0,5s60s,45898.0981,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2736262233036086,0.0008773093255512144
5sns,61,1S0,5s61s,45899.2707,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2724657356846194,0.0009245846994900726
5sns,62,1S0,5s62s,45900.3822,0.0010006922855944561,88,Beigang1982.OC.42.19,3.272822450441808,0.0009734531751389177
5sns,63,1S0,5s63s,45901.4398,0.0010006922855944561,88,Beigang1982.OC.42.19,3.271780300339998,0.00102408590607614
5sns,64,1S0,5s64s,45902.4433,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2730166070897155,0.0010763234524825938
5sns,65,1S0,5s65s,45903.3987,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2740206941149594,0.0011303206080793468
5sns,66,1S0,5s66s,45904.3093,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2744801676832935,0.0011861250735816055
5sns,67,1S0,5s67s,45905.1769,0.0010006922855944561,88,Beigang1982.OC.42.19,3.275515159251313,0.001243702991050095
5sns,68,1S0,5s68s,45906.0078,0.0010006922855944561,88,Beigang1982.OC.42.19,3.272643851003494,0.0013033506823947145
5sns,69,1S0,5s69s,45906.7987,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2726951093829086,0.0013646935942518827
5sns,70,1S0,5s70s,45907.556,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2704594631133546,0.0014280785061545778
5sns,75,1S0,5s75s,45910.8718,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2707467625434106,0.0017737263077888092
5sns,80,1S0,5s80s,45913.5602,0.0010006922855944561,88,Beigang1982.OC.42.19,3.2722537655884736,0.0021709759076575024
5snd,10,1D2,5s10d,44239.4549,0.0010006922855944561,88,Beigang1982.OC.42.19,1.9484406551599722,2.5086361365945555e-06
