Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,11,3S1,5s11s,44043.27,0.15,88,Beigang1982.PS.26.183,3.378019172128859,0.0003026315978887442
5sns,12,3S1,5s12s,44456.38,0.15,88,Beigang1982.PS.26.183,3.3769862076503063,0.0004382157242859062
5sns,13,3S1,5s13s,44747.68,0.15,88,Beigang1982.PS.26.183,3.374915099553162,0.0006094308317276087
5sns,14,3S1,5s14s,44960.22,0.15,88,Beigang1982.PS.26.183,3.374555818460113,0.0008198832185749779
5sns,15,3S1,5s15s,45120.41,0.15,88,Beigang1982.PS.26.183,3.3733687247452764,0.0010741685023873523
5sns,16,3S1,5s16s,45243.88,0.15,88,Beigang1982.PS.26.183,3.373570956546141,0.0013757906140869152
5sns,17,3S1,5s17s,45341.28,0.15,88,Beigang1982.PS.26.183,3.3726509515838696,0.001729596727290797
5sns,18,3S1,5s18s,45419.29,0.15,88,Beigang1982.PS.26.183,3.3730044859042447,0.002138829174608226
5sns,19,3S1,5s19s,45482.85,0.15,88,Beigang1982.PS.26.183,3.372722495922755,0.0026083188962846816
5sns,20,3S1,5s20s,45535.26,0.15,88,Beigang1982.PS.26.183,3.3730247783840923,0.003141596927918919
5sns,21,3S1,5s21s,45579.11,0.15,88,Beigang1982.PS.26.183,3.3707856909331824,0.003744635814848387
5sns,22,3S1,5s22s,45615.88,0.15,88,Beigang1982.PS.26.183,3.374312016067474,0.004416189339913809
5sns,23,3S1,5s23s,45647.23,0.15,88,Beigang1982.PS.26.183,3.376518492464804,0.0051646262235292935
5sns,24,3S1,5s24s,45674.29,0.15,88,Beigang1982.PS.26.183,3.372740984735465,0.005998398036698529
5sns,25,3S1,5s25s,45697.74,0.15,88,Beigang1982.PS.26.183,3.3657814535968775,0.0069204502768545504
5sns,26,3S1,5s26s,45718.04,0.15,88,Beigang1982.PS.26.183,3.36365037429459,0.007927383971752617
5sns,27,3S1,5s27s,45735.67,0.15,88,Beigang1982.PS.26.183,3.370141352717525,0.009017664760082148
5sns,28,3S1,5s28s,45751.32,0.15,88,Beigang1982.PS.26.183,3.3691015557126285,0.010212956346821017
5sns,29,3S1,5s29s,45765.12,0.15,88,Beigang1982.PS.26.183,3.37208519516696,0.011504043881195615
