Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,13,3S1,5s13s,44747.64061609582,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.375075106937363,1.9164819116968615e-06
5sns,14,3S1,5s14s,44960.24136137541,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.374439057936092,2.578506772359732e-06
5sns,15,3S1,5s15s,45120.34232028612,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3738533560233517,3.3776921654976286e-06
5sns,16,3S1,5s16s,45243.89986488586,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3733887535627076,4.32686260825355e-06
5sns,17,3S1,5s17s,45341.24791091309,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.373020943464857,5.4389046125749295e-06
5sns,18,3S1,5s18s,45419.30971458928,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.372723370903943,6.726716138953765e-06
5sns,19,3S1,5s19s,45482.86374836021,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3724834236430077,8.203186428646501e-06
5sns,20,3S1,5s20s,45535.29538758443,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.372283573813423,9.88121854606286e-06
5sns,21,3S1,5s21s,45579.05659521295,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3721187462757385,1.1773701634065965e-05
5sns,22,3S1,5s22s,45615.95922469804,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3719791084922583,1.389353712410077e-05
5sns,23,3S1,5s23s,45647.36528495323,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3718588700760783,1.6253623399114667e-05
5sns,24,3S1,5s24s,45674.31452861966,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.371760034363348,1.8866841521009162e-05
5sns,25,3S1,5s25s,45697.612212779546,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3716746641930655,2.1746098850814773e-05
5sns,26,3S1,5s26s,45717.889674195874,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3715907771496028,2.4904323510720522e-05
5sns,27,3S1,5s27s,45735.64702551656,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3715224028173445,2.8354363234137613e-05
5sns,28,3S1,5s28s,45751.28531085328,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.371463068485081,3.2109128365160685e-05
5sns,29,3S1,5s29s,45765.12875450656,0.00033356409519815205,88,Couturier2019.PRA.99.022503,3.3714137555904706,3.6181504867824675e-05
