n,Series,E_exp [MHz]
13,3S1,1341500517
14,3S1,1347874127
15,3S1,1352673833
16,3S1,1356377995
17,3S1,1359296416
18,3S1,1361636650
19,3S1,1363541952
20,3S1,1365113813
21,3S1,1366425741
22,3S1,1367532054
23,3S1,1368473584
24,3S1,1369281502
25,3S1,1369979949
26,3S1,1370587852
27,3S1,1371120204
28,3S1,1371589028
29,3S1,1372004044
30,3S1,1372373187
31,3S1,1372702970
32,3S1,1372998803
33,3S1,1373265188
34,3S1,1373505903
35,3S1,1373724155
36,3S1,1373922642
37,3S1,1374103691
38,3S1,1374269280
39,3S1,1374421124
40,3S1,1374560698
41,3S1,1374689300
42,3S1,1374808037
43,3S1,1374917901
44,3S1,1375019753
45,3S1,1375114353
46,3S1,1375202375
47,3S1,1375284413
48,3S1,1375360997
49,3S1,1375432602
50,3S1,1375499653
