n,Series,E_exp [MHz],New
12,3D1,1344688300,TRUE
12,3D2,1344870880,TRUE
13,3D1,1349925421,TRUE
13,3D2,1350174107,TRUE
14,1D2,1353661576,TRUE
14,3D1,1353850897,TRUE
14,3D2,1354207372,TRUE
15,1D2,1356969526,TRUE
15,3D1,1356887051,TRUE
15,3D2,1357360134,TRUE
16,1D2,1359922783,TRUE
16,3D1,1359296415,TRUE
16,3D2,1359574504,TRUE
17,3D1,1361493566,TRUE
17,3D2,1361682770,TRUE
18,3D1,1363313169,TRUE
18,3D2,1363452486,TRUE
19,3D1,1364863538,TRUE
19,3D2,1364960612,TRUE
20,3D1,1366181658,TRUE
20,3D2,1366249880,TRUE
21,3D1,1367305009,TRUE
21,3D2,1367354291,TRUE
22,3D1,1368266930,TRUE
22,3D2,1368303621,TRUE
23,3D1,1369095323,TRUE
23,3D2,1369123407,TRUE
24,3D1,1369812958,TRUE
24,3D2,1369834979,TRUE
25,3D1,1370438257,TRUE
25,3D2,1370455884,TRUE
26,3D1,1370986135,TRUE
26,3D2,1371000499,TRUE
27,3D1,1371468700,TRUE
27,3D2,1371480583,TRUE
28,3D1,1371895834,TRUE
28,3D2,1371905792,TRUE
29,3D1,1372275642,TRUE
29,3D2,1372284085,TRUE
30,3D1,1372614826,TRUE
30,3D2,1372622055,TRUE
31,3D1,1372918946,TRUE
31,3D2,1372925192,TRUE
32,3D1,1373192657,TRUE
32,3D2,1373198097,TRUE
33,3D1,1373439862,TRUE
33,3D2,1373444629,TRUE
34,3D1,1373663874,TRUE
34,3D2,1373668084,TRUE
35,3D1,1373867493,TRUE
35,3D2,1373871228,TRUE
36,3D1,1374053114,TRUE
36,3D2,1374056446,TRUE
37,3D1,1374222798,TRUE
37,3D2,1374225784,TRUE
38,3D1,1374378312,TRUE
38,3D2,1374381002,TRUE
39,3D1,1374521191,TRUE
39,3D2,1374523622,TRUE
40,3D1,1374652762,TRUE
40,3D2,1374654968,TRUE
41,3D1,1374774191,TRUE
41,3D2,1374776201,TRUE
42,3D1,1374886489,TRUE
42,3D2,1374888324,TRUE
43,3D1,1374990551,TRUE
43,3D2,1374992230,TRUE
44,3D1,1375087158,TRUE
44,3D2,1375088706,TRUE
45,3D1,1375177012,TRUE
45,3D2,1375178436,TRUE
46,3D1,1375260722,TRUE
46,3D2,1375262039,TRUE
47,3D1,1375338834,TRUE
47,3D2,1375340055,TRUE
48,3D1,1375411845,TRUE
48,3D2,1375412978,TRUE
49,3D1,1375480182,TRUE
49,3D2,1375481234,TRUE
50,3D1,1375544238,TRUE
50,3D2,1375545219,TRUE
