Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,10,1S0,5s10s,43512.41,0.5,88,Dai1995.JQSRT.54.1019,3.2657854119429786,0.0006957437867289185
5sns,11,1S0,5s11s,44097.03,0.5,88,Dai1995.JQSRT.54.1019,3.267184777147852,0.0010534195674778751
5sns,12,1S0,5s12s,44492.76,0.5,88,Dai1995.JQSRT.54.1019,3.2686983576318056,0.0015164407956948446
5sns,13,1S0,5s13s,44773.55,0.5,88,Dai1995.JQSRT.54.1019,3.2680552649989885,0.002099845708617639
5sns,14,1S0,5s14s,44979.64,0.5,88,Dai1995.JQSRT.54.1019,3.266790975213592,0.0028169377146228954
5sns,15,1S0,5s15s,45134.75,0.5,88,Dai1995.JQSRT.54.1019,3.2692976366144624,0.0036775664640525977
5sns,16,1S0,5s16s,45255.09,0.5,88,Dai1995.JQSRT.54.1019,3.2694806394239855,0.004700313746136891
5sns,17,1S0,5s17s,45350.11,0.5,88,Dai1995.JQSRT.54.1019,3.2696801578698764,0.005896990731046038
5sns,18,1S0,5s18s,45426.43,0.5,88,Dai1995.JQSRT.54.1019,3.2701210676671515,0.007280915903754984
5sns,19,1S0,5s19s,45488.65,0.5,88,Dai1995.JQSRT.54.1019,3.270880787212189,0.008865468580572584
5sns,20,1S0,5s20s,45540.36,0.5,88,Dai1995.JQSRT.54.1019,3.2651703185858985,0.010677076957625806
5sns,21,1S0,5s21s,45583.17,0.5,88,Dai1995.JQSRT.54.1019,3.2685486043255025,0.012700515262928456
5sns,22,1S0,5s22s,45619.44,0.5,88,Dai1995.JQSRT.54.1019,3.2686083148283096,0.014972648147933037
5sns,23,1S0,5s23s,45650.34,0.5,88,Dai1995.JQSRT.54.1019,3.268554338442872,0.017501094119768027
5sns,24,1S0,5s24s,45676.87,0.5,88,Dai1995.JQSRT.54.1019,3.268788223109503,0.020298434628906206
5sns,25,1S0,5s25s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,26,1S0,5s26s,45719.82,0.5,88,Dai1995.JQSRT.54.1019,3.2689884842283945,0.026757452856055988
5sns,27,1S0,5s27s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,28,1S0,5s28s,45752.78,0.5,88,Dai1995.JQSRT.54.1019,3.2690898402992907,0.03445948497751017
5sns,29,1S0,5s29s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,30,1S0,5s30s,45778.63,0.5,88,Dai1995.JQSRT.54.1019,3.2685642257332255,0.043516638504211724
5sns,31,1S0,5s31s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,32,1S0,5s32s,45799.26,0.5,88,Dai1995.JQSRT.54.1019,3.269208596234993,0.054029537506468474
5sns,33,1S0,5s33s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,34,1S0,5s34s,45816.0,0.5,88,Dai1995.JQSRT.54.1019,3.2693103457990844,0.06611582221678894
5sns,35,1S0,5s35s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,36,1S0,5s36s,45829.77,0.5,88,Dai1995.JQSRT.54.1019,3.268815269975022,0.07988654863299625
5sns,37,1S0,5s37s,45835.75,0.5,88,Dai1995.JQSRT.54.1019,3.269392379790119,0.08743010032999514
5sns,38,1S0,5s38s,45841.23,0.5,88,Dai1995.JQSRT.54.1019,3.2682911879597327,0.09544802287443749
5sns,39,1S0,5s39s,45846.24,0.5,88,Dai1995.JQSRT.54.1019,3.2704939348806192,0.10391291315422667
5sns,40,1S0,5s40s,45850.86,0.5,88,Dai1995.JQSRT.54.1019,3.269816503755983,0.11289059887396666
5sns,41,1S0,5s41s,45855.11,0.5,88,Dai1995.JQSRT.54.1019,3.2709278902233265,0.12235362940978173
5sns,42,1S0,5s42s,45859.04,0.5,88,Dai1995.JQSRT.54.1019,3.270823444932809,0.13234370016116356
5sns,43,1S0,5s43s,45862.68,0.5,88,Dai1995.JQSRT.54.1019,3.2698510416402797,0.1428726377867482
5sns,44,1S0,5s44s,45866.05,0.5,88,Dai1995.JQSRT.54.1019,3.270402969495933,0.15392842399160128
5sns,45,1S0,5s45s,45869.18,0.5,88,Dai1995.JQSRT.54.1019,3.271209235544184,0.1655373056211115
5sns,46,1S0,5s46s,45872.1,0.5,88,Dai1995.JQSRT.54.1019,3.269524691534336,0.1777467440026591
5sns,47,1S0,5s47s,45874.81,0.5,88,Dai1995.JQSRT.54.1019,3.272282653989002,0.1904841762951935
5sns,48,1S0,5s48s,45877.35,0.5,88,Dai1995.JQSRT.54.1019,3.2712705185852826,0.2038675809123099
5sns,49,1S0,5s49s,45879.72,0.5,88,Dai1995.JQSRT.54.1019,3.272451097760161,0.2178322872091663
5sns,50,1S0,5s50s,45881.94,0.5,88,Dai1995.JQSRT.54.1019,3.273467832397017,0.23242301762915824
5sns,51,1S0,5s51s,45884.03,0.5,88,Dai1995.JQSRT.54.1019,3.270550468191047,0.2477124072995774
5sns,52,1S0,5s52s,45885.98,0.5,88,Dai1995.JQSRT.54.1019,3.274115278005958,0.26355282949964326
5sns,53,1S0,5s53s,45887.82,0.5,88,Dai1995.JQSRT.54.1019,3.2742881360464864,0.2801118683663695
5sns,54,1S0,5s54s,45889.56,0.5,88,Dai1995.JQSRT.54.1019,3.2698655880437286,0.2974311990927174
5sns,55,1S0,5s55s,45891.19,0.5,88,Dai1995.JQSRT.54.1019,3.271524589767182,0.31533887866624805
5sns,56,1S0,5s56s,45892.73,0.5,88,Dai1995.JQSRT.54.1019,3.2720421546964857,0.33397298421473487
5sns,57,1S0,5s57s,45894.18,0.5,88,Dai1995.JQSRT.54.1019,3.275991528896114,0.35325938594348255
5sns,58,1S0,5s58s,45895.56,0.5,88,Dai1995.JQSRT.54.1019,3.2736250054689435,0.37340362425703216
5sns,59,1S0,5s59s,45896.86,0.5,88,Dai1995.JQSRT.54.1019,3.2761530774054606,0.3941955837641154
5sns,60,1S0,5s60s,45898.1,0.5,88,Dai1995.JQSRT.54.1019,3.2720459027204143,0.41589130987392964
5sns,61,1S0,5s61s,45899.27,0.5,88,Dai1995.JQSRT.54.1019,3.2730792977826226,0.43825174928034405
5sns,62,1S0,5s62s,45900.38,0.5,88,Dai1995.JQSRT.54.1019,3.2748526369140762,0.46138219275227266
5sns,63,1S0,5s63s,45901.43,0.5,88,Dai1995.JQSRT.54.1019,3.281292466132747,0.4851987604313632
5sns,64,1S0,5s64s,45902.44,0.5,88,Dai1995.JQSRT.54.1019,3.276383593206539,0.510107098872221
5sns,65,1S0,5s65s,45903.4,0.5,88,Dai1995.JQSRT.54.1019,3.272627600170658,0.5358236199964627
5sns,66,1S0,5s66s,45904.31,0.5,88,Dai1995.JQSRT.54.1019,3.273693017859543,0.5622605853933311
5sns,67,1S0,5s67s,45905.17,0.5,88,Dai1995.JQSRT.54.1019,3.28364914326108,0.5893064142223456
5sns,68,1S0,5s68s,45906.01,0.5,88,Dai1995.JQSRT.54.1019,3.2699253341642276,0.6178837972600616
5sns,69,1S0,5s69s,45906.8,0.5,88,Dai1995.JQSRT.54.1019,3.271013148545279,0.6469329884317071
5sns,70,1S0,5s70s,45907.56,0.5,88,Dai1995.JQSRT.54.1019,3.26504337590481,0.677093477976169
5sns,71,1S0,5s71s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,72,1S0,5s72s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,73,1S0,5s73s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,74,1S0,5s74s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,75,1S0,5s75s,45910.87,0.5,88,Dai1995.JQSRT.54.1019,3.273773343723022,0.8406639725377811
5sns,76,1S0,5s76s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,77,1S0,5s77s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,78,1S0,5s78s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,79,1S0,5s79s,,0.5,88,Dai1995.JQSRT.54.1019,,
5sns,80,1S0,5s80s,45913.56,0.5,88,Dai1995.JQSRT.54.1019,3.272665391032774,1.0290555473275371
