Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5snd,9,1D2,5s9d,43755.98,0.5,88,Dai1995.PRA.52.4416,1.8989202674013592,0.0008157585795323027
5snd,10,1D2,5s10d,44241.86,0.5,88,Dai1995.PRA.52.4416,1.942714612092919,0.001191666477976265
5snd,11,1D2,5s11d,44578.62,0.5,88,Dai1995.PRA.52.4416,1.9960347753140493,0.0016629910423955254
5snd,12,1D2,5s12d,44829.47,0.5,88,Dai1995.PRA.52.4416,2.0243507685333793,0.0022615801962837514
5snd,13,1D2,5s13d,45011.81,0.5,88,Dai1995.PRA.52.4416,2.0808254162540187,0.0029659096192032053
5snd,14,1D2,5s14d,45153.03,0.5,88,Dai1995.PRA.52.4416,2.132489240998085,0.0038077408686108174
5snd,15,1D2,5s15d,45263.62,0.5,88,Dai1995.PRA.52.4416,2.1885276332747736,0.0047905526270917605
5snd,16,1D2,5s16d,45362.17,0.5,88,Dai1995.PRA.52.4416,2.125195737584452,0.00608511903480092
5snd,17,1D2,5s17d,45433.26,0.5,88,Dai1995.PRA.52.4416,2.1696449921413574,0.0074309292214686335
5snd,18,1D2,5s18d,45492.74,0.5,88,Dai1995.PRA.52.4416,2.1978558554434056,0.008989520767947446
5snd,19,1D2,5s19d,45452.36,0.5,88,Dai1995.PRA.52.4416,3.8773646458014586,0.00787899679686616
5snd,20,1D2,5s20d,45584.23,0.5,88,Dai1995.PRA.52.4416,2.2415620339986653,0.012758592616075728
5snd,21,1D2,5s21d,45619.63,0.5,88,Dai1995.PRA.52.4416,2.2629161161841687,0.014986302209128522
5snd,22,1D2,5s22d,45650.27,0.5,88,Dai1995.PRA.52.4416,2.2710040347972047,0.01749457654704699
5snd,23,1D2,5s23d,45676.49,0.5,88,Dai1995.PRA.52.4416,2.284197831897437,0.02025320449495014
5snd,24,1D2,5s24d,45699.31,0.5,88,Dai1995.PRA.52.4416,2.292981769105772,0.023301774545003068
5snd,25,1D2,5s25d,45719.16,0.5,88,Dai1995.PRA.52.4416,2.3042262059231255,0.026633207071284075
5snd,26,1D2,5s26d,45736.83,0.5,88,Dai1995.PRA.52.4416,2.3000946821106965,0.03032692071853635
5snd,27,1D2,5s27d,45752.24,0.5,88,Dai1995.PRA.52.4416,2.3062222788269295,0.034304499441502385
5snd,28,1D2,5s28d,45765.77,0.5,88,Dai1995.PRA.52.4416,2.322088535978356,0.03857159288784679
5snd,29,1D2,5s29d,45778.02,0.5,88,Dai1995.PRA.52.4416,2.3214968737120536,0.04325863971303106
5snd,30,1D2,5s30d,45788.92,0.5,88,Dai1995.PRA.52.4416,2.32531619435391,0.04828769619634134
5snd,31,1D2,5s31d,45798.69,0.5,88,Dai1995.PRA.52.4416,2.3306048917252866,0.05368390173229027
5snd,32,1D2,5s32d,45807.43,0.5,88,Dai1995.PRA.52.4416,2.343471434380767,0.059422295320651033
5snd,33,1D2,5s33d,45815.53,0.5,88,Dai1995.PRA.52.4416,2.3312713059959798,0.06571670859821764
5snd,34,1D2,5s34d,45822.51,0.5,88,Dai1995.PRA.52.4416,2.3705364319775732,0.07208816357498005
5snd,35,1D2,5s35d,45829.34,0.5,88,Dai1995.PRA.52.4416,2.337302131970098,0.07938613236537566
5snd,36,1D2,5s36d,45835.36,0.5,88,Dai1995.PRA.52.4416,2.3373817241879635,0.08690247791503021
5snd,37,1D2,5s37d,45840.43,0.5,88,Dai1995.PRA.52.4416,2.420008062355528,0.09420265563195981
5snd,38,1D2,5s38d,45845.73,0.5,88,Dai1995.PRA.52.4416,2.376015770300107,0.10299495508672003
5snd,39,1D2,5s39d,45850.54,0.5,88,Dai1995.PRA.52.4416,2.341853988913684,0.11222767687169906
5snd,40,1D2,5s40d,45854.81,0.5,88,Dai1995.PRA.52.4416,2.3441264790664604,0.1216428712678876
5snd,41,1D2,5s41d,45858.76,0.5,88,Dai1995.PRA.52.4416,2.3447238434830098,0.13158755689328883
5snd,42,1D2,5s42d,45862.41,0.5,88,Dai1995.PRA.52.4416,2.3467782460825504,0.14204433541699163
5snd,43,1D2,5s43d,45865.81,0.5,88,Dai1995.PRA.52.4416,2.344088153893779,0.15309450434365984
5snd,44,1D2,5s44d,45868.99,0.5,88,Dai1995.PRA.52.4416,2.3339715165662085,0.16479149821642358
5snd,45,1D2,5s45d,45871.94,0.5,88,Dai1995.PRA.52.4416,2.326290320159366,0.17703929756008713
5snd,46,1D2,5s46d,45874.61,0.5,88,Dai1995.PRA.52.4416,2.3482777379200925,0.18949276499423637
5snd,47,1D2,5s47d,45877.16,0.5,88,Dai1995.PRA.52.4416,2.348539496418809,0.20281285997186296
5snd,48,1D2,5s48d,45879.56,0.5,88,Dai1995.PRA.52.4416,2.3419984293015474,0.2168398903848981
5snd,49,1D2,5s49d,45881.82,0.5,88,Dai1995.PRA.52.4416,2.3291496557022597,0.23159310446016973
5snd,50,1D2,5s50d,45833.86,0.5,88,Dai1995.PRA.52.4416,16.59509901444241,0.08492177233257467
5snd,9,3D2,5s9d,43804.69,0.5,88,Dai1995.PRA.52.4416,1.818089609513156,0.0008439338937436459
5snd,10,3D2,5s10d,44286.91,0.5,88,Dai1995.PRA.52.4416,1.8331505260159062,0.0012409438642328873
5snd,11,3D2,5s11d,44619.84,0.5,88,Dai1995.PRA.52.4416,1.8557249698319556,0.0017419525554977988
5snd,12,3D2,5s12d,44859.31,0.5,88,Dai1995.PRA.52.4416,1.8865771740546506,0.002356584285194784
5snd,13,3D2,5s13d,45036.52,0.5,88,Dai1995.PRA.52.4416,1.9312312132530955,0.00308948741109242
5snd,14,3D2,5s14d,45171.43,0.5,88,Dai1995.PRA.52.4416,1.989832766445467,0.003946713916713412
5snd,15,3D2,5s15d,45276.45,0.5,88,Dai1995.PRA.52.4416,2.0638041060173204,0.004931831537748654
5snd,16,3D2,5s16d,45350.57,0.5,88,Dai1995.PRA.52.4416,2.2642517099971187,0.0059039878363491526
5snd,17,3D2,5s17d,45421.04,0.5,88,Dai1995.PRA.52.4416,2.3479875056985655,0.007166058083322375
5snd,18,3D2,5s18d,45479.92,0.5,88,Dai1995.PRA.52.4416,2.4234237176966857,0.008610026771039418
5snd,19,3D2,5s19d,45530.53,0.5,88,Dai1995.PRA.52.4416,2.4712129043604634,0.010287537702524193
5snd,22,3D2,5s22d,45641.69,0.5,88,Dai1995.PRA.52.4416,2.5645280138312714,0.016725293918001784
5snd,23,3D2,5s23d,45669.09,0.5,88,Dai1995.PRA.52.4416,2.5775924194463578,0.019404805815579667
5snd,24,3D2,5s24d,45692.84,0.5,88,Dai1995.PRA.52.4416,2.588366092159731,0.022363404068081662
5snd,25,3D2,5s25d,45713.48,0.5,88,Dai1995.PRA.52.4416,2.600860805380311,0.025602505536786887
5snd,26,3D2,5s26d,45731.76,0.5,88,Dai1995.PRA.52.4416,2.601750973902057,0.029183579527555
5snd,27,3D2,5s27d,45747.71,0.5,88,Dai1995.PRA.52.4416,2.611273786260341,0.03304881089269392
5snd,29,3D2,5s29d,45774.56,0.5,88,Dai1995.PRA.52.4416,2.615900662170258,0.04184227633378602
5snd,30,3D2,5s30d,45785.81,0.5,88,Dai1995.PRA.52.4416,2.6208629176094504,0.04675711984745125
5snd,31,3D2,5s31d,45795.94,0.5,88,Dai1995.PRA.52.4416,2.621381920215324,0.05206695896114403
5snd,32,3D2,5s32d,45804.97,0.5,88,Dai1995.PRA.52.4416,2.631575743382413,0.05770725534908868
5snd,33,3D2,5s33d,45813.16,0.5,88,Dai1995.PRA.52.4416,2.638101633120968,0.06376395542263721
5snd,34,3D2,5s34d,45820.71,0.5,88,Dai1995.PRA.52.4416,2.6269028425441086,0.07034944349629005
5snd,35,3D2,5s35d,45827.53,0.5,88,Dai1995.PRA.52.4416,2.6209419662769946,0.07733589456318028
5snd,36,3D2,5s36d,45833.56,0.5,88,Dai1995.PRA.52.4416,2.645935782773286,0.08453465113044917
5snd,37,3D2,5s37d,45839.34,0.5,88,Dai1995.PRA.52.4416,2.623558340392627,0.09254889636285243
