Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,40,1S0,5s40s,45850.86139059005,0.0021,87,Ding2018.PRA.98.042505,3.2684571264585713,0.00047419308919355367
5sns,60,1S0,5s60s,45898.100147902805,0.0022,87,Ding2018.PRA.98.042505,3.2680686215300057,0.001830306409735326
5sns,72,1S0,5s72s,45908.965728169365,0.002,87,Ding2018.PRA.98.042505,3.269043343902581,0.002958731634733363
5sns,74,1S0,5s74s,45910.261518074214,0.0021,87,Ding2018.PRA.98.042505,3.2679793566471176,0.003385991806122183
5sns,76,1S0,5s76s,45911.45145218788,0.002,87,Ding2018.PRA.98.042505,3.267586944126137,0.0035061653876851816
5sns,77,1S0,5s77s,45912.00957126509,0.002,87,Ding2018.PRA.98.042505,3.268961313880993,0.003652577713743219
5sns,78,1S0,5s78s,45912.5463238276,0.002,87,Ding2018.PRA.98.042505,3.2687034226472065,0.0038032595156009784
5sns,82,1S0,5s82s,45914.49245017383,0.0022,87,Ding2018.PRA.98.042505,3.268137891204617,0.004892070008448061
5sns,86,1S0,5s86s,45916.16283777404,0.0021,87,Ding2018.PRA.98.042505,3.2683626199094675,0.005418169247745313
5sns,90,1S0,5s90s,45917.6072327811,0.0019,87,Ding2018.PRA.98.042505,3.2693797553205712,0.0056479308476478
5sns,94,1S0,5s94s,45918.86539418529,0.0019,87,Ding2018.PRA.98.042505,3.268650965088611,0.006466125338294061
5sns,98,1S0,5s98s,45919.96750390032,0.0022,87,Ding2018.PRA.98.042505,3.2680724726683934,0.008521777996396005
5sns,40,3S1,5s40s,45850.405627594264,0.0021,87,Ding2018.PRA.98.042505,3.3709407456159823,0.00047023505554340267
5sns,60,3S1,5s60s,45897.977027594265,0.0021,87,Ding2018.PRA.98.042505,3.370222900683359,0.0017376898500978386
5sns,40,3S1,5s40s,45850.40592789669,0.0021,87,Ding2018.PRA.98.042505,3.370873501274886,0.000470237645348205
5sns,50,3S1,5s50s,45881.72580762495,0.0022,87,Ding2018.PRA.98.042505,3.3705775236137256,0.0010162983105391572
5sns,72,3S1,5s72s,45908.897402721195,0.0021,87,Ding2018.PRA.98.042505,3.3698992471012588,0.0030930120870812498
5sns,74,3S1,5s74s,45910.19661420864,0.0022,87,Ding2018.PRA.98.042505,3.372397184510916,0.0035315429462911205
5sns,76,3S1,5s76s,45911.39268164737,0.0019,87,Ding2018.PRA.98.042505,3.3703981561777994,0.003316752033635054
5sns,77,3S1,5s77s,45911.95436341722,0.0021,87,Ding2018.PRA.98.042505,3.369580446744223,0.0038195265499096683
5sns,78,3S1,5s78s,45912.49281175603,0.0019,87,Ding2018.PRA.98.042505,3.3702561937216444,0.0035983869764044177
5sns,82,3S1,5s82s,45914.44728969598,0.0021,87,Ding2018.PRA.98.042505,3.368368085436245,0.004651891481274443
5sns,86,3S1,5s86s,45916.12370795814,0.0021,87,Ding2018.PRA.98.042505,3.3691362736969097,0.005398394083699017
5sns,90,3S1,5s90s,45917.57352149981,0.0021,87,Ding2018.PRA.98.042505,3.369416405030222,0.006220874328746153
5sns,94,3S1,5s94s,45918.835573620236,0.0022,87,Ding2018.PRA.98.042505,3.3699670671314834,0.0074620388756987364
5sns,98,3S1,5s98s,45919.941287761605,0.0022,87,Ding2018.PRA.98.042505,3.3694586211776425,0.008494446158354645
5sns,30,3S1,5s30s,45777.43878651378,0.002,87,Ding2018.PRA.98.042505,3.3712422832915365,0.00017206840278527114
5sns,31,3S1,5s31s,45788.43948651378,0.0021,87,Ding2018.PRA.98.042505,3.371161094804304,0.00020180206703514496
5sns,32,3S1,5s32s,45798.30758651378,0.0022,87,Ding2018.PRA.98.042505,3.3710812056021666,0.0002352100823206331
5sns,33,3S1,5s33s,45807.19298651378,0.0019,87,Ding2018.PRA.98.042505,3.371050818460045,0.0002251753058392495
5sns,34,3S1,5s34s,45815.22198651378,0.0021,87,Ding2018.PRA.98.042505,3.371068780993973,0.0002749370291424511
5sns,35,3S1,5s35s,45822.500386513784,0.0021,87,Ding2018.PRA.98.042505,3.3712552223497916,0.00030274960010636857
5sns,36,3S1,5s36s,45829.12198651378,0.002,87,Ding2018.PRA.98.042505,3.3711291527333316,0.0003165589110896119
5sns,37,3S1,5s37s,45835.16158651378,0.0021,87,Ding2018.PRA.98.042505,3.3710120041689535,0.0003638975254861374
5sns,38,3S1,5s38s,45840.68488651378,0.0014,87,Ding2018.PRA.98.042505,3.371010004020839,0.0002648902196663305
5sns,39,3S1,5s39s,45845.75098651378,0.0022,87,Ding2018.PRA.98.042505,3.3707379617118747,0.00045337918305768805
5sns,40,3S1,5s40s,45850.405886513785,0.0015,87,Ding2018.PRA.98.042505,3.3708827678424456,0.0003358837774722127
5sns,42,3S1,5s42s,45858.65578651378,0.0021,87,Ding2018.PRA.98.042505,3.3709050029342222,0.0005515454530561302
5sns,43,3S1,5s43s,45862.32058651378,0.002,87,Ding2018.PRA.98.042505,3.370842155453417,0.00056714347328695
5sns,44,3S1,5s44s,45865.71858651378,0.0021,87,Ding2018.PRA.98.042505,3.3706339960895093,0.0006417381297213422
5sns,45,3S1,5s45s,45868.87388651378,0.0015,87,Ding2018.PRA.98.042505,3.370665664118718,0.0004930694233141069
5sns,49,3S1,5s49s,45879.489086513786,0.0019,87,Ding2018.PRA.98.042505,3.3707162901302894,0.0008224376202708907
5sns,50,3S1,5s50s,45881.72608651378,0.0021,87,Ding2018.PRA.98.042505,3.3704486893310275,0.0009701109738173228
5sns,55,3S1,5s55s,45891.02768651378,0.002,87,Ding2018.PRA.98.042505,3.3706844624228793,0.0012541154303304298
5sns,60,3S1,5s60s,45897.976486513784,0.0019,87,Ding2018.PRA.98.042505,3.3706706239733037,0.0015721582889310609
5sns,65,3S1,5s65s,45903.30448651378,0.0019,87,Ding2018.PRA.98.042505,3.3697888684437487,0.0020265297356193016
5sns,72,3S1,5s72s,45908.896686513785,0.0022,87,Ding2018.PRA.98.042505,3.370954098104008,0.003240148968180535
5sns,74,3S1,5s74s,45910.19868651378,0.0022,87,Ding2018.PRA.98.042505,3.3690703882858344,0.0035320420122378717
5sns,76,3S1,5s76s,45911.39288651378,0.0019,87,Ding2018.PRA.98.042505,3.370040526650996,0.0033168010291246726
5sns,77,3S1,5s77s,45911.95408651378,0.0021,87,Ding2018.PRA.98.042505,3.3700840796914946,0.003819448173624397
5sns,82,3S1,5s82s,45914.44688651378,0.0022,87,Ding2018.PRA.98.042505,3.3692611939439274,0.00487324406660973
5sns,86,3S1,5s86s,45916.12328651378,0.0019,87,Ding2018.PRA.98.042505,3.370219644175279,0.0048840692041836825
5sns,90,3S1,5s90s,45917.57328651378,0.0019,87,Ding2018.PRA.98.042505,3.370112500716232,0.005628274431532424
5sns,94,3S1,5s94s,45918.83508651378,0.0021,87,Ding2018.PRA.98.042505,3.3716192070819773,0.007122465759324569
5sns,98,3S1,5s98s,45919.94128651378,0.0022,87,Ding2018.PRA.98.042505,3.3694634391759024,0.008494444860901706
5sns,99,3S1,5s99s,45920.19608651378,0.0022,87,Ding2018.PRA.98.042505,3.3700394639419216,0.008766435131764293
5snd,50,3D1,5s50d,45883.374244617655,0.0022,87,Ding2018.PRA.98.042505,2.589899105021871,0.001068202850495548
5snd,50,3D1,5s50d,45883.37407082164,0.0022,87,Ding2018.PRA.98.042505,2.5899834908853734,0.0010681971465806993
5snd,50,3D2,5s50d,45883.3739703421,0.0022,87,Ding2018.PRA.98.042505,2.5900322780642924,0.0010681938489059343
5snd,50,3D2,5s50d,45883.3744317026,0.0021,87,Ding2018.PRA.98.042505,2.589808266273913,0.0010196540364861414
5snd,50,3D2,5s50d,45883.374605675526,0.0021,87,Ding2018.PRA.98.042505,2.5897237935733415,0.0010196594867752313
5snd,50,3D1,5s50d,45883.374740773615,0.0021,87,Ding2018.PRA.98.042505,2.5896581962713228,0.0010196637192123228
5snd,50,3D3,5s50d,45883.375177598136,0.0022,87,Ding2018.PRA.98.042505,2.589446092888174,0.001068233471405475
5snd,50,3D3,5s50d,45883.37518358899,0.0022,87,Ding2018.PRA.98.042505,2.5894431839637875,0.0010682336680332511
5snd,50,3D3,5s50d,45883.37521913593,0.0022,87,Ding2018.PRA.98.042505,2.589425923756039,0.0010682348347317444
5snd,60,3D1,5s60d,45898.892182255455,0.0021,87,Ding2018.PRA.98.042505,2.597422562021819,0.001809805431148314
5snd,60,3D1,5s60d,45898.89231528045,0.0021,87,Ding2018.PRA.98.042505,2.59730791912736,0.0018098162746551735
5snd,60,3D2,5s60d,45898.89259678414,0.0021,87,Ding2018.PRA.98.042505,2.5970653128438954,0.0018098392217316915
5snd,60,3D2,5s60d,45898.89259633926,0.0022,87,Ding2018.PRA.98.042505,2.597065696255015,0.0018960220038218823
5snd,60,3D2,5s60d,45898.89277222152,0.0022,87,Ding2018.PRA.98.042505,2.5969141153643776,0.0018960370240364284
5snd,60,3D3,5s60d,45898.89321080763,0.0022,87,Ding2018.PRA.98.042505,2.596536122765741,0.0018960744798284007
5snd,60,3D1,5s60d,45898.892838221655,0.0022,87,Ding2018.PRA.98.042505,2.596857234055797,0.001896042660449816
5snd,60,3D3,5s60d,45898.89339869288,0.0022,87,Ding2018.PRA.98.042505,2.596374192796091,0.0018960905258365163
5snd,60,3D3,5s60d,45898.893741323416,0.0022,87,Ding2018.PRA.98.042505,2.5960788911951056,0.0018961197881752836
5snd,97,3D1,5s97d,45919.879499821946,0.0022,87,Ding2018.PRA.98.042505,2.607130365971557,0.008430603445598206
5snd,97,3D2,5s97d,45919.87964383468,0.0022,87,Ding2018.PRA.98.042505,2.6065784910020255,0.008430751316922802
5snd,97,1D2,5s97d,45919.879905854265,0.0022,87,Ding2018.PRA.98.042505,2.60557437410408,0.008431020367978794
5snd,97,1D2,5s97d,45919.87983707913,0.0022,87,Ding2018.PRA.98.042505,2.6058379387228285,0.008430949745827651
5snd,97,1D2,5s97d,45919.994599982514,0.0022,87,Ding2018.PRA.98.042505,2.16294008421481,0.008550181604611372
5snd,98,3D1,5s98d,45920.13641662746,0.0022,87,Ding2018.PRA.98.042505,2.6069255342715394,0.008701450062633023
5snd,98,3D2,5s98d,45920.13661685682,0.0022,87,Ding2018.PRA.98.042505,2.6061335763199907,0.00870166678401925
5snd,98,3D2,5s98d,45920.05440001254,0.0022,87,Ding2018.PRA.98.042505,2.929672659914658,0.008613428671143824
5snd,98,3D3,5s98d,45920.09160000683,0.0022,87,Ding2018.PRA.98.042505,2.783691890014211,0.008653167463657426
5snd,98,3D3,5s98d,45920.13637271635,0.0022,87,Ding2018.PRA.98.042505,2.6070992112202305,0.008701402535958165
5snd,98,3D3,5s98d,45920.136172135244,0.0022,87,Ding2018.PRA.98.042505,2.6078925362899525,0.00870118544485469
