Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,10,1S0,5s10s,43512.0,0.18,88,Esherick1977.PRA.15.1920,3.2663558492326343,0.0002504044934868877
5sns,11,1S0,5s11s,44096.84,0.17,88,Esherick1977.PRA.15.1920,3.2675850454140685,0.00035810764752389006
5sns,12,1S0,5s12s,44492.83,0.18,88,Esherick1977.PRA.15.1920,3.2684860482241636,0.000545959326868018
4dnd,4,3P0,4d4d,44525.83,0.11,88,Esherick1977.PRA.15.1920,-4.833360969478235,0.0003454546141049586
5sns,13,1S0,5s13s,44773.36,0.11,88,Esherick1977.PRA.15.1920,3.268853108066976,0.0004618544673715387
5sns,14,1S0,5s14s,44979.25,0.16,88,Esherick1977.PRA.15.1920,3.2689875116807645,0.0009008685160378592
5sns,15,1S0,5s15s,45134.88,0.11,88,Esherick1977.PRA.15.1920,3.2683413526252565,0.000809266043146481
5sns,16,1S0,5s16s,45255.31,0.1,88,Esherick1977.PRA.15.1920,3.267411997730207,0.0009405261123337043
5sns,17,1S0,5s17s,45350.35,0.07,88,Esherick1977.PRA.15.1920,3.2668487273543843,0.0008260987488791448
5sns,18,1S0,5s18s,45426.52,0.07,88,Esherick1977.PRA.15.1920,3.268810328162525,0.0010196117149084791
5sns,19,1S0,5s19s,45488.74,0.07,88,Esherick1977.PRA.15.1920,3.2692847603334894,0.0012415572808078129
5sns,20,1S0,5s20s,45540.1,0.07,88,Esherick1977.PRA.15.1920,3.2707196358932897,0.0014933208583821495
5sns,21,1S0,5s21s,45583.18,0.12,88,Esherick1977.PRA.15.1920,3.268294588618385,0.0030482657628029034
5snd,9,1D2,5s9d,43755.88,0.15,88,Esherick1977.PRA.15.1920,1.8990834134584196,0.0002447112571329168
5snd,9,3D2,5s9d,43804.89,0.22,88,Esherick1977.PRA.15.1920,1.8177520122283175,0.00037138362497027977
5snd,10,1D2,5s10d,44241.7,0.11,88,Esherick1977.PRA.15.1920,1.943095918211693,0.00026213055315398845
5snd,10,3D2,5s10d,44287.05,0.2,88,Esherick1977.PRA.15.1920,1.8328030396350172,0.0004964414885833206
5snd,11,1D2,5s11d,44578.58,0.11,88,Esherick1977.PRA.15.1920,1.9961678116193031,0.00036584341320399313
5snd,11,3D2,5s11d,44620.08,0.16,88,Esherick1977.PRA.15.1920,1.8548887180914484,0.0005575788502863601
4dnd,4,3P2,4d4d,44729.56,0.11,88,Esherick1977.PRA.15.1920,-5.5522998444533105,0.0004368545899216307
5snd,12,1D2,5s12d,44829.4,0.11,88,Esherick1977.PRA.15.1920,2.024667374617147,0.000497502448001185
5snd,12,3D2,5s12d,44860.28,0.2,88,Esherick1977.PRA.15.1920,1.8820022992168433,0.0009439146156875884
5snd,13,1D2,5s13d,45011.77,0.11,88,Esherick1977.PRA.15.1920,2.0810626812371655,0.0006524604368458147
5snd,13,3D2,5s13d,45036.85,0.11,88,Esherick1977.PRA.15.1920,1.9291915883962307,0.0006800660098182031
5snd,14,1D2,5s14d,45153.1,0.11,88,Esherick1977.PRA.15.1920,2.131956121473582,0.0008378195571736579
5snd,14,3D2,5s14d,45171.54,0.13,88,Esherick1977.PRA.15.1920,1.9889643954073435,0.0010263713648983347
5snd,15,1D2,5s15d,45263.62,0.14,88,Esherick1977.PRA.15.1920,2.1885276332747736,0.0013413582443797506
5snd,15,3D2,5s15d,45276.62,0.12,88,Esherick1977.PRA.15.1920,2.0621269575662087,0.00118410430840969
5snd,16,3D2,5s16d,45350.35,0.07,88,Esherick1977.PRA.15.1920,2.2668487273543843,0.0008260987488791448
5snd,16,1D2,5s16d,45362.03,0.06,88,Esherick1977.PRA.15.1920,2.1268992567519387,0.000729956472360492
5snd,17,3D2,5s17d,45420.78,0.07,88,Esherick1977.PRA.15.1920,2.351712434128318,0.0010024943282960232
5snd,17,1D2,5s17d,45433.14,0.08,88,Esherick1977.PRA.15.1920,2.171428093124227,0.001188529940471266
5snd,18,3D2,5s18d,45479.88,0.07,88,Esherick1977.PRA.15.1920,2.4241124739998536,0.001205257270956964
5snd,18,1D2,5s18d,45492.48,0.06,88,Esherick1977.PRA.15.1920,2.2025283320045546,0.0010778022827038919
5snd,19,3D2,5s19d,45530.17,0.08,88,Esherick1977.PRA.15.1920,2.4786149546216265,0.0016438095637871819
5snd,19,1D2,5s19d,45542.12,0.06,88,Esherick1977.PRA.15.1920,2.2274599326740763,0.0012899499430263361
5snd,20,1D2,5s20d,45584.17,0.06,88,Esherick1977.PRA.15.1920,2.2430928668054158,0.0015306585219001154
5snd,21,1D2,5s21d,45619.6,0.06,88,Esherick1977.PRA.15.1920,2.263815229395501,0.0017981247775395162
5snd,22,3D2,5s22d,45641.68,0.07,88,Esherick1977.PRA.15.1920,2.564862510999692,0.0023414463145333864
5snd,22,1D2,5s22d,45650.26,0.08,88,Esherick1977.PRA.15.1920,2.2713539169424486,0.0027990070346876846
5snd,23,3D2,5s23d,45669.14,0.1,88,Esherick1977.PRA.15.1920,2.575651662684187,0.003882088433217752
5snd,23,1D2,5s23d,45676.51,0.06,88,Esherick1977.PRA.15.1920,2.283387656372426,0.002430706721794896
5snd,24,3D2,5s24d,45692.81,0.07,88,Esherick1977.PRA.15.1920,2.5897077699879993,0.0031303228964909904
5snd,24,1D2,5s24d,45699.25,0.06,88,Esherick1977.PRA.15.1920,2.2957774412492604,0.0027951752741422692
5snd,25,3D2,5s25d,45713.51,0.07,88,Esherick1977.PRA.15.1920,2.599324497346437,0.0035851282596384617
5snd,25,1D2,5s25d,45719.25,0.06,88,Esherick1977.PRA.15.1920,2.2994307102514675,0.0031980598685141847
5snd,26,3D2,5s26d,45731.8,0.07,88,Esherick1977.PRA.15.1920,2.599415938567507,0.004086969948724947
5snd,26,1D2,5s26d,45736.8,0.06,88,Esherick1977.PRA.15.1920,2.3019140874179485,0.003638447831871734
5snd,27,3D2,5s27d,45747.81,0.07,88,Esherick1977.PRA.15.1920,2.6046613373016676,0.004630649470836977
5snd,27,1D2,5s27d,45752.22,0.06,88,Esherick1977.PRA.15.1920,2.307594344136035,0.004115916474541038
5snd,28,1D2,5s28d,45765.79,0.06,88,Esherick1977.PRA.15.1920,2.3205455335369685,0.0046294961118108924
5snd,29,3D2,5s29d,45774.58,0.07,88,Esherick1977.PRA.15.1920,2.614226812214863,0.005859098881742244
5snd,29,1D2,5s29d,45777.98,0.06,88,Esherick1977.PRA.15.1920,2.324956890891606,0.005189096335882242
5snd,30,3D2,5s30d,45785.87,0.07,88,Esherick1977.PRA.15.1920,2.615250339124053,0.006550096196380695
5snd,30,1D2,5s30d,45788.9,0.06,88,Esherick1977.PRA.15.1920,2.3272474995857486,0.00579339873538754
5snd,31,3D2,5s31d,45795.91,0.07,88,Esherick1977.PRA.15.1920,2.624505421298373,0.007287048709054064
5snd,31,1D2,5s31d,45798.65,0.06,88,Esherick1977.PRA.15.1920,2.3348986381194905,0.006439272276037978
5snd,32,3D2,5s32d,45805.02,0.07,88,Esherick1977.PRA.15.1920,2.6258033177044204,0.008083870508349677
5snd,32,1D2,5s32d,45807.46,0.06,88,Esherick1977.PRA.15.1920,2.3399054543837607,0.007133356627230998
5snd,33,3D2,5s33d,45813.18,0.09,88,Esherick1977.PRA.15.1920,2.6355507540368457,0.011480481390884745
5snd,33,1D2,5s33d,45815.6,0.09,88,Esherick1977.PRA.15.1920,2.3220668267435123,0.011839740000792524
5snd,34,3D2,5s34d,45820.69,0.09,88,Esherick1977.PRA.15.1920,2.6297164411188056,0.012659577367207157
5snd,34,1D2,5s34d,45822.71,0.06,88,Esherick1977.PRA.15.1920,2.3416616811056343,0.008674424897990763
5snd,35,3D2,5s35d,45827.55,0.09,88,Esherick1977.PRA.15.1920,2.6178480878000485,0.013924544316646774
5snd,35,1D2,5s35d,45829.32,0.06,88,Esherick1977.PRA.15.1920,2.3404771135608513,0.009523703179498818
5snd,36,3D2,5s36d,45833.54,0.12,88,Esherick1977.PRA.15.1920,2.649316653952674,0.020282221280904976
5snd,36,1D2,5s36d,45835.3,0.06,88,Esherick1977.PRA.15.1920,2.3478051758671725,0.01041877183177749
5snd,37,3D2,5s37d,45839.32,0.12,88,Esherick1977.PRA.15.1920,2.6272596975418523,0.022204642041497663
5snd,37,1D2,5s37d,45840.85,0.07,88,Esherick1977.PRA.15.1920,2.3406051958634606,0.013279578119675338
5snd,38,1D2,5s38d,45845.91,0.07,88,Esherick1977.PRA.15.1920,2.3388796065271507,0.014464595847065628
5snd,39,1D2,5s39d,45850.53,0.07,88,Esherick1977.PRA.15.1920,2.3440983358244765,0.015709163978304637
5snd,40,1D2,5s40d,45854.83,0.07,88,Esherick1977.PRA.15.1920,2.3392598220076124,0.017036795353534626
5snd,41,1D2,5s41d,45858.75,0.07,88,Esherick1977.PRA.15.1920,2.3473553253017485,0.018418700917200336
5snd,42,1D2,5s42d,45862.44,0.07,88,Esherick1977.PRA.15.1920,2.338252839210192,0.019899257761569582
5snd,43,1D2,5s43d,45865.84,0.07,88,Esherick1977.PRA.15.1920,2.3348993714336146,0.02144800522196466
5snd,44,1D2,5s44d,45869.01,0.07,88,Esherick1977.PRA.15.1920,2.3273782934679303,0.023082020565435075
5snd,45,1D2,5s45d,45871.91,0.07,88,Esherick1977.PRA.15.1920,2.3369087111125424,0.02476728000217479
5snd,46,1D2,5s46d,45874.61,0.07,88,Esherick1977.PRA.15.1920,2.3482777379200925,0.02652928239268755
5snd,47,1D2,5s47d,45877.1,0.07,88,Esherick1977.PRA.15.1920,2.3728571542858248,0.028347750498499625
5snd,48,1D2,5s48d,45879.51,0.07,88,Esherick1977.PRA.15.1920,2.363666978431745,0.030314720935453666
5snd,49,1D2,5s49d,45881.76,0.07,88,Esherick1977.PRA.15.1920,2.3569160233865034,0.03236555999698025
5snd,50,1D2,5s50d,45883.83,0.07,88,Esherick1977.PRA.15.1920,2.3693279265931295,0.034465253819289624
5snd,51,1D2,5s51d,45885.75,0.07,88,Esherick1977.PRA.15.1920,2.394898958480667,0.03662409514656781
5snd,52,1D2,5s52d,45887.61,0.07,88,Esherick1977.PRA.15.1920,2.3915192195429853,0.038939389178940416
5snd,53,1D2,5s53d,45889.38,0.07,88,Esherick1977.PRA.15.1920,2.3766029813925726,0.041378544144931764
5snd,54,1D2,5s54d,45891.03,0.07,88,Esherick1977.PRA.15.1920,2.372138697203688,0.04389082626444657
5snd,55,1D2,5s55d,45892.59,0.07,88,Esherick1977.PRA.15.1920,2.3653065377430806,0.04650906907174849
5snd,56,1D2,5s56d,45894.04,0.07,88,Esherick1977.PRA.15.1920,2.374631804794504,0.04918494771030995
5snd,57,1D2,5s57d,45895.39,0.07,88,Esherick1977.PRA.15.1920,2.4001421273983894,0.0519153623224731
5snd,58,1D2,5s58d,45896.74,0.07,88,Esherick1977.PRA.15.1920,2.370519743368675,0.05490809290398105
5snd,59,1D2,5s59d,45898.01,0.07,88,Esherick1977.PRA.15.1920,2.346758463908934,0.05799567997415895
5snd,60,1D2,5s60d,45899.2,0.07,88,Esherick1977.PRA.15.1920,2.3343368845943715,0.06116080939307996
