Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,19,3S1,5s19s,45482.89,0.01,88,Kunze1993.ZPD.27.111,3.372026899496351,0.00017400744156939973
5sns,20,3S1,5s20s,45535.32,0.01,88,Kunze1993.ZPD.27.111,3.37176800024087,0.00020960328373992613
5sns,21,3S1,5s21s,45579.08,0.01,88,Kunze1993.ZPD.27.111,3.3715345685239093,0.00024974878355550726
5sns,22,3S1,5s22s,45615.99,0.01,88,Kunze1993.ZPD.27.111,3.3710726403342335,0.0002947293622144413
5sns,23,3S1,5s23s,45647.4,0.01,88,Kunze1993.ZPD.27.111,3.370662643758248,0.0003448075554729486
5sns,35,3S1,5s35s,45822.49,0.04,88,Kunze1993.ZPD.27.111,3.3734195636208995,0.005765675351976578
5snd,19,3D3,5s19d,45542.3,0.04,88,Kunze1993.ZPD.27.111,2.2235888028638477,0.0008605788339271394
5snd,20,3D3,5s20d,45582.36,0.04,88,Kunze1993.ZPD.27.111,2.2890876923381533,0.0010125495186092586
5snd,23,3D3,5s23d,45673.05,0.04,88,Kunze1993.ZPD.27.111,2.4221495278945078,0.0015881572250713255
5snd,24,3D3,5s24d,45695.9,0.04,88,Kunze1993.ZPD.27.111,2.4501756913921433,0.0018239993310668222
5snd,25,3D3,5s25d,45715.93,0.04,88,Kunze1993.ZPD.27.111,2.4743446783260623,0.002083175103802696
5snd,26,3D3,5s26d,45733.65,0.04,88,Kunze1993.ZPD.27.111,2.490650754177473,0.002368183203572273
5snd,27,3D3,5s27d,45749.33,0.04,88,Kunze1993.ZPD.27.111,2.5034852767239215,0.0026792076217424573
5snd,28,3D3,5s28d,45763.23,0.04,88,Kunze1993.ZPD.27.111,2.5158175152109763,0.0030165157148783085
