Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,12,1S0,5s12s,44492.69,0.18,88,Philip2007.OC.279.141,3.2689106515530977,0.0005458796826472684
5sns,13,1S0,5s13s,44773.48,0.18,88,Philip2007.OC.279.141,3.268349230012891,0.0007558770842284935
5sns,14,1S0,5s14s,44979.09,0.18,88,Philip2007.OC.279.141,3.269888264813604,0.0010132214283276066
5sns,15,1S0,5s15s,45135.01,0.18,88,Philip2007.OC.279.141,3.267384834729752,0.001324573647192817
5sns,16,1S0,5s16s,45255.02,0.18,88,Philip2007.OC.279.141,3.2701386321847288,0.0016918531137756476
5sns,17,1S0,5s17s,45350.45,0.18,88,Philip2007.OC.279.141,3.2656684475439217,0.0021247811970795884
5sns,18,1S0,5s18s,45426.67,0.18,88,Philip2007.OC.279.141,3.2666249845309547,0.002623000435272198
5sns,19,1S0,5s19s,45488.66,0.18,88,Philip2007.OC.279.141,3.270703474881813,0.003191681394675319
5sns,26,1S0,5s26s,45719.92,0.18,88,Philip2007.OC.279.141,3.2636351042802367,0.009639504816363602
5sns,27,1S0,5s27s,45737.18,0.18,88,Philip2007.OC.279.141,3.278837276554018,0.010947111736915718
5sns,28,1S0,5s28s,45752.67,0.18,88,Philip2007.OC.279.141,3.2766674411956522,0.012394033476231815
5sns,29,1S0,5s29s,45766.49,0.18,88,Philip2007.OC.279.141,3.2663645871797833,0.013976391708768687
5sns,30,1S0,5s30s,45778.43,0.18,88,Philip2007.OC.279.141,3.285953893714307,0.015635459406809864
5sns,31,1S0,5s31s,45789.43,0.18,88,Philip2007.OC.279.141,3.275930877291543,0.017476825569727746
5sns,32,1S0,5s32s,45799.08,0.18,88,Philip2007.OC.279.141,3.28863949567382,0.019411225267610795
5sns,33,1S0,5s33s,45808.1,0.18,88,Philip2007.OC.279.141,3.263523449156697,0.021565531043668377
5sns,34,1S0,5s34s,45816.08,0.18,88,Philip2007.OC.279.141,3.2587263512382094,0.0238263327919601
5sns,35,1S0,5s35s,45823.21,0.18,88,Philip2007.OC.279.141,3.269127402039228,0.026202195267781937
5sns,36,1S0,5s36s,45829.62,0.18,88,Philip2007.OC.279.141,3.292754939294511,0.028696142981231805
5sns,37,1S0,5s37s,45835.4,0.18,88,Philip2007.OC.279.141,3.3304273730488845,0.0313043322522218
5sns,38,1S0,5s38s,45841.17,0.18,88,Philip2007.OC.279.141,3.2797392854685796,0.034327372732305496
5sns,39,1S0,5s39s,45845.8,0.18,88,Philip2007.OC.279.141,3.3615877192817294,0.0371233086081462
5sns,40,1S0,5s40s,45850.21,0.18,88,Philip2007.OC.279.141,3.415700496632283,0.04015835034373713
5sns,41,1S0,5s41s,45854.63,0.18,88,Philip2007.OC.279.141,3.387841660711274,0.04363916176910061
5sns,42,1S0,5s42s,45858.73,0.18,88,Philip2007.OC.279.141,3.352616677081876,0.047342579476600415
5sns,43,1S0,5s43s,45862.2,0.18,88,Philip2007.OC.279.141,3.4063025550773887,0.05090609845065715
5sns,44,1S0,5s44s,45865.67,0.18,88,Philip2007.OC.279.141,3.386886928713757,0.0549402300424739
5sns,45,1S0,5s45s,45868.72,0.18,88,Philip2007.OC.279.141,3.422674837214167,0.05894694073250447
5sns,46,1S0,5s46s,45871.77,0.18,88,Philip2007.OC.279.141,3.386356608131564,0.06346548955109188
5snp,32,1P1,5s32p,45804.11,0.18,88,Philip2007.OC.279.141,2.7303318326531,0.020565772593338097
5snp,33,1P1,5s33p,45812.4,0.18,88,Philip2007.OC.279.141,2.7345611917358283,0.022736968375261325
5snp,34,1P1,5s34p,45819.95,0.18,88,Philip2007.OC.279.141,2.733290368675295,0.02506906717643199
5snp,35,1P1,5s35p,45826.78,0.18,88,Philip2007.OC.279.141,2.73632607467043,0.02754438576854059
5snp,36,1P1,5s36p,45832.87,0.18,88,Philip2007.OC.279.141,2.7619850951443965,0.030115970808399083
5snp,37,1P1,5s37p,45838.34,0.18,88,Philip2007.OC.279.141,2.8071744121739997,0.032786616876441306
5snp,38,1P1,5s38p,45843.59,0.18,88,Philip2007.OC.279.141,2.808817090586807,0.03574318334803386
5snp,39,1P1,5s39p,45848.32,0.18,88,Philip2007.OC.279.141,2.8302097579215584,0.038808745412181316
5snp,40,1P1,5s40p,45852.84,0.18,88,Philip2007.OC.279.141,2.8144390940658255,0.04217107219618598
5snp,41,1P1,5s41p,45856.94,0.18,88,Philip2007.OC.279.141,2.814979841519751,0.04566365869742591
5snp,42,1P1,5s42p,45860.83,0.18,88,Philip2007.OC.279.141,2.7881578432873795,0.0494473896647456
5snp,43,1P1,5s43p,45864.09,0.18,88,Philip2007.OC.279.141,2.8607161522009577,0.05303963073418076
5snp,44,1P1,5s44p,45867.56,0.18,88,Philip2007.OC.279.141,2.7974262322449306,0.057367334259001417
5snp,45,1P1,5s45p,45870.51,0.18,88,Philip2007.OC.279.141,2.82378557926949,0.061531063615831626
5snp,46,1P1,5s46p,45873.35,0.18,88,Philip2007.OC.279.141,2.8181039111661548,0.06603843258701832
5snf,29,1F3,5s29f,45801.18,0.18,88,Philip2007.OC.279.141,0.059460486109546906,0.019879776701856124
5snf,30,1F3,5s30f,45809.57,0.18,88,Philip2007.OC.279.141,0.08582501685760491,0.021954458103464903
5snf,31,1F3,5s31f,45817.55,0.18,88,Philip2007.OC.279.141,0.06227781274377975,0.024286036234507126
5snf,32,1F3,5s32f,45824.26,0.18,88,Philip2007.OC.279.141,0.11516820850239995,0.0265854504643674
5snf,33,1F3,5s33f,45830.77,0.18,88,Philip2007.OC.279.141,0.1078627412168629,0.029185552184504054
