n,Series,E_exp,E_exp_unc
13,3S1,1341500517,10
14,3S1,1347874127,10
15,3S1,1352673833,10
16,3S1,1356377995,10
17,3S1,1359296416,10
18,3S1,1361636650,10
19,3S1,1363541952,10
20,3S1,1365113813,10
21,3S1,1366425741,10
22,3S1,1367532054,10
23,3S1,1368473584,10
24,3S1,1369281502,10
25,3S1,1369979949,10
26,3S1,1370587852,10
27,3S1,1371120204,10
28,3S1,1371589028,10
29,3S1,1372004044,10
30,3S1,1372373187,10
31,3S1,1372702970,10
32,3S1,1372998803,10
33,3S1,1373265188,10
34,3S1,1373505903,10
35,3S1,1373724155,10
36,3S1,1373922642,10
37,3S1,1374103691,10
38,3S1,1374269280,10
39,3S1,1374421124,10
40,3S1,1374560698,10
41,3S1,1374689300,10
42,3S1,1374808037,10
43,3S1,1374917901,10
44,3S1,1375019753,10
45,3S1,1375114353,10
46,3S1,1375202375,10
47,3S1,1375284413,10
48,3S1,1375360997,10
49,3S1,1375432602,10
50,3S1,1375499653,10
