Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-22:04:58	1.000000000000000000000000000000E+0	4.318884277343750400000000000000E+0	5.822753906250000300000000000000E-3	4.949432373046875000000000000000E+0	3.921081542968750100000000000000E-1	1.501464843750000100000000000000E-3	4.821777343750000200000000000000E-4	1.708984374999999900000000000000E-4	1.892089843750000100000000000000E-4	
2019.03.28-22:05:03	2.000000000000000000000000000000E+0	4.338531494140625000000000000000E+0	5.786132812499999800000000000000E-3	4.949523925781250000000000000000E+0	4.071350097656250000000000000000E-1	1.519775390624999900000000000000E-3	5.310058593749999600000000000000E-4	2.868652343750000100000000000000E-4	2.441406250000000000000000000000E-4	
2019.03.28-22:05:08	3.000000000000000000000000000000E+0	4.334826660156250200000000000000E+0	5.615234375000000000000000000000E-3	4.949444580078124800000000000000E+0	4.111694335937500200000000000000E-1	1.556396484375000000000000000000E-3	5.371093750000000400000000000000E-4	3.051757812500000000000000000000E-4	2.502441406249999800000000000000E-4	
2019.03.28-22:05:13	4.000000000000000000000000000000E+0	4.339495849609375200000000000000E+0	5.792236328125000300000000000000E-3	4.949401855468750000000000000000E+0	4.175659179687499800000000000000E-1	1.684570312500000100000000000000E-3	4.394531250000000100000000000000E-4	2.502441406249999800000000000000E-4	2.014160156249999900000000000000E-4	
2019.03.28-22:05:18	5.000000000000000000000000000000E+0	4.360131835937499600000000000000E+0	5.706787109375000000000000000000E-3	4.949505615234374800000000000000E+0	4.296203613281249800000000000000E-1	1.666259765625000000000000000000E-3	5.065917968750000400000000000000E-4	2.807617187499999800000000000000E-4	2.563476562500000100000000000000E-4	
2019.03.28-22:05:23	6.000000000000000000000000000000E+0	4.346929931640625400000000000000E+0	5.822753906250000300000000000000E-3	4.949487304687499600000000000000E+0	4.321350097656250200000000000000E-1	1.617431640625000000000000000000E-3	4.028320312499999800000000000000E-4	2.319335937499999900000000000000E-4	2.258300781250000100000000000000E-4	
2019.03.28-22:05:28	7.000000000000000000000000000000E+0	4.355413818359375400000000000000E+0	5.725097656249999800000000000000E-3	4.949432373046875000000000000000E+0	4.349060058593750000000000000000E-1	1.617431640625000000000000000000E-3	4.699707031250000100000000000000E-4	3.112792968749999800000000000000E-4	2.197265625000000100000000000000E-4	
2019.03.28-22:05:33	8.000000000000000000000000000000E+0	4.341229248046874800000000000000E+0	5.700683593750000300000000000000E-3	4.949395751953124600000000000000E+0	4.433471679687500100000000000000E-1	1.562500000000000100000000000000E-3	5.004882812499999600000000000000E-4	2.807617187499999800000000000000E-4	2.685546875000000200000000000000E-4	
2019.03.28-22:05:38	9.000000000000000000000000000000E+0	4.367309570312500000000000000000E+0	5.792236328125000300000000000000E-3	4.949426269531249600000000000000E+0	4.344970703125000100000000000000E-1	1.672363281249999900000000000000E-3	5.493164062500000000000000000000E-4	2.563476562500000100000000000000E-4	2.441406250000000000000000000000E-4	
2019.03.28-22:05:43	1.000000000000000000000000000000E+1	4.353253173828124800000000000000E+0	5.627441406250000200000000000000E-3	4.949426269531249600000000000000E+0	4.374755859375000200000000000000E-1	1.684570312500000100000000000000E-3	4.638671874999999800000000000000E-4	3.173828125000000100000000000000E-4	2.014160156249999900000000000000E-4	
