imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
5.5,20776.052,48217.0295502353,1.53662503738655e-06,1.17601509510224e-06
5.505,20776.053,55829.5820487152,2.54143267642325e-06,1.1733391766174e-06
5.51,20776.054,68102.070330458,2.76883840635536e-06,6.70826494699569e-06
5.515,20776.054,51104.1197174896,1.92161954397223e-06,1.07410957329815e-06
5.52,20776.054,89639.1064670888,2.09160896752817e-06,6.49212359210045e-06
5.525,20776.056,50560.9906885398,1.82082766941071e-06,8.9764941100863e-07
5.53,20776.056,66023.1671942028,2.71287196048036e-06,1.33906924663991e-06
5.535,20776.056,63459.3963737804,1.8805081694179e-06,1.47717778110063e-06
5.54,20776.058,70635.2008901774,1.50291068816506e-06,1.38830298706876e-06
5.545,20776.057,90169.4850761666,1.97837263058288e-06,1.7289883734713e-06
5.55,20776.059,92945.2912708781,1.91925082981338e-06,1.39054164346098e-06
5.555,20776.058,95447.752876375,1.86724917552179e-06,1.41167316751903e-06
5.56,20776.061,96743.0935760635,1.51925289786303e-06,1.62957024365084e-06
5.565,20776.06,140175.002081677,1.98800103527697e-06,2.00732796386319e-06
5.57,20776.062,114817.674572597,2.16307395641276e-06,1.34787454428703e-06
5.575,20776.062,126341.426448905,1.84731956990353e-06,1.15000398362706e-06
5.58,20776.064,143266.993316093,1.7467644828962e-06,1.19026906743352e-06
5.585,20776.063,133489.537857942,1.88885148831577e-06,1.01166478441764e-06
5.59,20776.066,179545.947512595,1.98505654295024e-06,1.44846529505828e-06
5.595,20776.065,221510.186299443,1.85636522598993e-06,1.38293756991489e-06
5.6,20776.066,258690.354954539,1.90952813030782e-06,1.66344383090194e-06
5.605,20776.068,280757.367060971,1.76437922618826e-06,1.30088534860383e-06
5.61,20776.066,347042.374186294,2.0178357531139e-06,1.39457576972981e-06
5.615,20776.071,529183.562976844,1.78411117971009e-06,1.20252534597676e-06
5.62,20776.07,627257.487313762,1.8367513280932e-06,1.46336061999264e-06
5.625,20776.072,796198.50483478,1.74450614154908e-06,1.29569176676861e-06
5.63,20776.073,1180432.55733856,1.86335839864742e-06,1.43114585314193e-06
5.635,20776.072,1783550.15974811,1.98505654295024e-06,1.57929386789873e-06
5.64,20776.073,1378416.79511415,2.0416464148638e-06,1.35184634237982e-06
5.645,20776.074,4425409.13710592,2.24882136748329e-06,1.56215621649582e-06
5.65,20776.076,4558231.30743135,2.2311981117783e-06,1.67178249682834e-06
5.655,20776.076,2570284.79503372,2.14913037154493e-06,1.61409092570943e-06
5.66,20776.078,1853931.87722273,1.89695168945408e-06,1.47394796964514e-06
5.665,20776.079,1451919.82603824,1.87218331812773e-06,1.34060809071186e-06
5.67,20776.081,543014.425442928,1.70757850072431e-06,1.2874898404923e-06
5.675,20776.081,605670.867887724,1.86283993498865e-06,1.1888190987237e-06
5.68,20776.082,411658.852048043,1.80752579784142e-06,1.32766549887605e-06
5.685,20776.084,330810.48105184,1.89564403313926e-06,1.30956440283883e-06
