imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
6,20776.049,119773.612746661,4.63275241256508e-06,2.49358834522414e-06
6.005,20776.048,77000.3627599835,9.98900897345591e-06,2.02998293061896e-06
6.01,20776.049,100945.628459013,4.37881711426204e-06,3.05834045985741e-06
6.015,20776.05,125526.991092594,6.65599584732375e-06,5.69651254997209e-06
6.02,20776.051,90148.3026360297,8.84366132478906e-06,2.13061317850958e-06
6.025,20776.051,88093.4385779859,7.1753722369489e-06,2.72296512933e-06
6.03,20776.053,67608.2715123934,7.02242698831225e-06,1.99461399111754e-06
6.035,20776.053,69510.1554996802,6.15229334765482e-06,2.88575578735697e-06
6.04,20776.054,86002.0380615661,6.53636335859727e-06,4.07526594026423e-06
6.045,20776.054,111904.805132254,6.37968003801927e-06,4.12379223064638e-06
6.05,20776.056,68288.0543112831,5.78682354284242e-06,2.0003505436139e-06
6.055,20776.056,78123.2184025293,4.59248675067972e-06,3.80294404741363e-06
6.06,20776.056,97676.4179836808,6.07487371852509e-06,3.38752578024749e-06
6.065,20776.058,81412.4739173815,5.3548873341825e-06,2.3611028404817e-06
6.07,20776.059,79609.9218436463,3.66772253618677e-06,2.64915873189926e-06
6.075,20776.059,103442.193576164,7.72714772812942e-06,3.14548382420395e-06
6.08,20776.061,118205.221740084,6.63755853963815e-06,2.93157510756154e-06
6.085,20776.06,92819.1243017402,7.77557849475913e-06,1.70892748662027e-06
6.09,20776.062,112623.460328802,8.50835226690021e-06,2.73286129855553e-06
6.095,20776.062,99427.6753821803,6.8990231512336e-06,1.8675872466841e-06
6.1,20776.064,171809.47899995,1.1497757078739e-05,2.90516019365074e-06
6.105,20776.064,138253.710850779,5.94127558808116e-06,2.28247122338982e-06
6.11,20776.065,192664.737834812,6.34944809657433e-06,2.21925758636557e-06
6.115,20776.066,198412.459848212,6.38456288200116e-06,2.47105374286648e-06
6.12,20776.067,258122.979971953,7.84092941503772e-06,2.17513711892706e-06
6.125,20776.068,307184.248818364,7.12111240136881e-06,2.499085201093e-06
6.13,20776.068,391621.094651038,6.67395939343428e-06,3.11232061668405e-06
6.135,20776.07,508629.167078802,7.62593559601201e-06,2.41486437044866e-06
6.14,20776.069,425565.680691705,7.53069381049486e-06,3.09767562438467e-06
6.145,20776.071,340171.841135009,6.64353540516481e-06,2.52389594544093e-06
6.15,20776.072,345412.75754071,6.85492628455011e-06,2.31646968469846e-06
6.155,20776.074,414870.29566326,6.40558039569814e-06,2.40766119960431e-06
6.16,20776.074,529865.276818329,6.30569078376913e-06,2.65545425898566e-06
6.165,20776.076,416475.276345115,6.87366284644722e-06,2.60311588163107e-06
6.17,20776.076,329124.593025816,7.66976579377653e-06,2.52051939373159e-06
6.175,20776.078,257841.26264314,5.87550204897961e-06,2.79746229947301e-06
6.18,20776.078,215533.965562504,7.40551235184609e-06,2.49053715145022e-06
6.185,20776.08,179519.96741792,8.283776513316e-06,2.73062511067288e-06
6.19,20776.08,155530.007374682,6.77268859910672e-06,3.05023353046052e-06
6.195,20776.082,144283.625631754,5.0728981069697e-06,3.4360790429211e-06
6.2,20776.083,121296.172956146,5.59547591519845e-06,3.13760448752538e-06
6.205,20776.084,114565.146136011,4.33242846203281e-06,4.57138663900987e-06
6.21,20776.086,136695.026061262,1.11085321100045e-05,3.63264169961017e-06
6.215,20776.086,132248.385637266,7.09019924145472e-06,2.41516473605308e-06
6.22,20776.088,109311.616856552,7.35091161750891e-06,1.66649315163585e-06
6.225,20776.089,94766.7388415934,5.27423823078314e-06,2.34509239460617e-06
6.23,20776.091,119145.051481713,6.03444838964017e-06,4.47192676255414e-06
6.235,20776.092,123373.786762177,5.64679977762778e-06,2.53927239303624e-06
6.24,20776.092,119582.817911495,4.74786306387268e-06,2.84583765522834e-06
6.245,20776.094,138553.489040266,9.83141914853117e-06,2.60623525328852e-06
6.25,20776.095,186190.171902163,6.05963893149655e-06,3.01019560138503e-06
6.255,20776.097,184707.58109818,6.80139013385511e-06,2.07261334706431e-06
6.26,20776.097,267928.989791492,7.02293919100629e-06,2.29768083129863e-06
6.265,20776.099,255861.542241982,7.75887970442472e-06,2.59875189936117e-06
6.27,20776.1,351313.407314809,6.95243179060752e-06,2.33002143062626e-06
6.275,20776.102,442483.356009471,6.69044724326494e-06,2.23425545057912e-06
6.28,20776.103,884223.775951811,6.18301396575427e-06,2.64758601755718e-06
6.285,20776.107,823885.340063661,6.32803672951757e-06,2.41006106110461e-06
6.29,20776.108,914384.363547945,6.99684066917224e-06,3.42677009074037e-06
6.295,20776.11,1060448.02949005,7.13504526166554e-06,2.83541335023079e-06
6.3,20776.113,1419248.80402506,6.96977015486551e-06,3.02967684321959e-06
