imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
6,20776.072,501322.02666025,6.60920516038871e-06,2.15295939510166e-06
6.005,20776.072,544395.472395569,6.92900837279508e-06,2.46316046240982e-06
6.01,20776.073,550062.29942062,7.0173059887098e-06,2.32825157012754e-06
6.015,20776.072,537743.716427771,7.38501340099913e-06,2.42358255659888e-06
6.02,20776.073,564206.296041452,6.63656265688792e-06,1.97854109243281e-06
6.025,20776.072,574535.154232602,6.59381037948034e-06,2.17998580859113e-06
6.03,20776.073,585679.885014224,6.58636773615494e-06,2.31617552047962e-06
6.035,20776.073,556080.146538346,7.00604636454745e-06,2.54759509142535e-06
6.04,20776.074,592945.988479092,7.25897062219546e-06,2.23685636212035e-06
6.045,20776.074,698839.344737098,6.79987801377444e-06,2.26004207260516e-06
6.05,20776.074,848185.065934643,6.91883660614968e-06,2.13682446388236e-06
6.055,20776.074,895273.549547315,6.67296078356871e-06,2.50367053733791e-06
6.06,20776.075,817946.726052013,6.63108663730101e-06,2.43442698678996e-06
6.065,20776.075,746519.310782466,7.05729932197791e-06,2.62186012988409e-06
6.07,20776.075,679824.840290869,7.37136321741484e-06,2.36288514110931e-06
6.075,20776.076,585524.294588931,7.92341068231403e-06,2.27809322262632e-06
6.08,20776.077,522513.9050617,7.41235164892055e-06,2.54574442612549e-06
6.085,20776.076,406012.193331773,6.43937834865316e-06,2.27342798750557e-06
6.09,20776.079,395896.761209034,7.70835440113969e-06,2.28685342689955e-06
6.095,20776.079,367029.818674989,7.76372589111991e-06,2.16887035730385e-06
6.1,20776.079,287190.452562045,7.60193581357952e-06,2.41877058025812e-06
6.105,20776.082,260716.143530757,7.7879795194256e-06,2.58009058530071e-06
6.11,20776.082,208502.513875959,5.92667988932552e-06,2.67944540243975e-06
6.115,20776.082,188029.937870673,5.2862299266442e-06,2.53773264690358e-06
6.12,20776.084,203444.378540644,8.92200499772654e-06,2.23136732335951e-06
6.125,20776.084,170576.176386625,6.53389284426287e-06,2.72711295035137e-06
6.13,20776.084,154419.163036301,7.6928001213416e-06,2.15835119165383e-06
6.135,20776.085,167712.985909889,6.76011935251722e-06,2.2498836146562e-06
6.14,20776.087,149154.204173026,7.33624593835857e-06,2.0390807274889e-06
6.145,20776.09,164454.982581107,7.15777984002898e-06,2.71499742290705e-06
6.15,20776.089,158554.378069333,5.00780877495685e-06,3.70334389262767e-06
6.155,20776.089,162132.808550112,9.30710880019035e-06,1.77396540503739e-06
6.16,20776.089,156443.434943612,5.26314694995649e-06,2.4073613009717e-06
6.165,20776.089,142681.164990915,6.45655623338064e-06,2.53773264690358e-06
6.17,20776.089,177881.964285478,5.6780750088006e-06,3.4317810344278e-06
6.175,20776.09,155810.454425446,7.19765236769113e-06,1.86336343067118e-06
6.18,20776.092,193823.425586507,8.19832870491458e-06,2.33710759701516e-06
6.185,20776.092,197523.760445541,7.26886821101528e-06,2.34894178328639e-06
6.19,20776.094,203426.301705188,7.89840370707419e-06,2.09157815544027e-06
6.195,20776.093,243761.527532409,6.69994947507577e-06,2.16517152033356e-06
6.2,20776.093,236637.904741448,8.55294952189107e-06,2.67406959500219e-06
6.205,20776.094,216187.783505886,6.31977384087723e-06,2.57171493230891e-06
6.21,20776.095,228134.266545164,5.94975874732191e-06,2.44529562479942e-06
6.215,20776.095,245138.7474141,5.25339627980597e-06,3.68588276148214e-06
6.22,20776.095,257507.269629162,1.03564072971075e-05,2.60966871952146e-06
6.225,20776.096,269068.989554816,6.35042219975957e-06,2.18941338094977e-06
6.23,20776.097,280971.45344048,7.25532584188132e-06,2.22242599940199e-06
6.235,20776.096,332047.53685417,7.59394429159452e-06,2.07289161556291e-06
6.24,20776.098,358533.967367819,7.89134368176695e-06,2.70513368020366e-06
6.245,20776.099,443251.246191077,7.30016802358391e-06,2.56954568950423e-06
6.25,20776.099,448213.525451405,7.25428464418713e-06,2.71850177545999e-06
6.255,20776.1,492280.304959962,5.71405589617361e-06,2.56923587239048e-06
6.26,20776.101,619685.043137007,6.85340822458808e-06,2.31794078597578e-06
6.265,20776.102,711122.730552123,7.026525132873e-06,2.37865800106988e-06
