Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5sns,40,3S1,5s40s,45850.40562642374,0.002099998990968612,87,Ding2018.PRA.98.042505,3.370941007722074,0.0004702348195050658
5sns,60,3S1,5s60s,45897.97702642374,0.002099998990968612,87,Ding2018.PRA.98.042505,3.370223869260869,0.001737688925990645
5sns,30,3S1,5s30s,45777.43878747149,0.0019999991744288643,87,Ding2018.PRA.98.042505,3.371242200896134,0.00017206833335517283
5sns,31,3S1,5s31s,45788.439487471485,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3711610027724497,0.0002018019897174889
5sns,32,3S1,5s32s,45798.307587471485,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.3710811032103827,0.0002352099965794868
5sns,33,3S1,5s33s,45807.192987471484,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.3710507049592238,0.00022517521058583781
5sns,34,3S1,5s34s,45815.22198747149,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3710686556089158,0.00027493692443321264
5sns,35,3S1,5s35s,45822.50038747149,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3712550842808113,0.0003027494850514648
5sns,36,3S1,5s36s,45829.12198747149,0.0019999991744288643,87,Ding2018.PRA.98.042505,3.371129001148276,0.0003165587848306059
5sns,37,3S1,5s37s,45835.161587471484,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3710118382134553,0.0003638973878148117
5sns,38,3S1,5s38s,45840.684887471485,0.0013999991744288644,87,Ding2018.PRA.98.042505,3.3710098228160206,0.0002648900676205549
5sns,39,3S1,5s39s,45845.75098747149,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.3707377643466003,0.0004533790204571576
5sns,40,3S1,5s40s,45850.40588747149,0.0014999991744288645,87,Ding2018.PRA.98.042505,3.370882553390693,0.00033588359850771803
5sns,42,3S1,5s42s,45858.655787471485,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3709047514018664,0.0005515452470016739
5sns,43,3S1,5s43s,45862.320587471484,0.0019999991744288643,87,Ding2018.PRA.98.042505,3.3708418838752863,0.000567143250838186
5sns,44,3S1,5s44s,45865.718587471485,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3706337034247724,0.0006417378913032556
5sns,45,3S1,5s45s,45868.87388747148,0.0014999991744288645,87,Ding2018.PRA.98.042505,3.3706653493086165,0.0004930691631242739
5sns,49,3S1,5s49s,45879.48908747149,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.370715875576188,0.0008224372853287758
5sns,50,3S1,5s50s,45881.726087471485,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3704482469118133,0.0009701106200515616
5sns,55,3S1,5s55s,45891.027687471484,0.0019999991744288643,87,Ding2018.PRA.98.042505,3.370683861886441,0.0012541149564121263
5sns,60,3S1,5s60s,45897.97648747149,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.3706698315184624,0.001572157671811785
5sns,65,3S1,5s65s,45903.30448747148,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.3697878469605342,0.0020265289558350345
5sns,72,3S1,5s72s,45908.89668747149,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.37095268760055,0.0032401479520636272
5sns,74,3S1,5s74s,45910.198687471486,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.3690688507153226,0.003532040917473029
5sns,76,3S1,5s76s,45911.392887471484,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.3700388547995743,0.00331679981698355
5sns,77,3S1,5s77s,45911.95408747149,0.002099999174428864,87,Ding2018.PRA.98.042505,3.3700823378317324,0.0038194469431575913
5sns,82,3S1,5s82s,45914.44688747149,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.3692590725205775,0.004873242632311993
5sns,86,3S1,5s86s,45916.123287471484,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.3702171823338745,0.0048840675185436114
5sns,90,3S1,5s90s,45917.57328747149,0.0018999991744288645,87,Ding2018.PRA.98.042505,3.370109663754164,0.005628272538929817
5sns,94,3S1,5s94s,45918.83508747149,0.002099999174428864,87,Ding2018.PRA.98.042505,3.371615958880625,0.007122463725102078
5sns,98,3S1,5s98s,45919.94128747148,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.369459741369326,0.008494442669072502
5sns,99,3S1,5s99s,45920.196087471486,0.0021999991744288644,87,Ding2018.PRA.98.042505,3.3700356477323794,0.008766432891575112
5snd,50,3D1,5s50d,45883.144,0.0022,87,Ding2018.PRA.98.042505,2.7012997559552048,0.0010606905843734136
5snd,50,3D2,5s50d,45883.1685,0.0022,87,Ding2018.PRA.98.042505,2.6894830931307965,0.0010614857619063189
5snd,50,3D2,5s50d,45883.2882,0.0021,87,Ding2018.PRA.98.042505,2.631622646220613,0.001016958501606556
5snd,50,3D1,5s50d,45883.2972,0.0021,87,Ding2018.PRA.98.042505,2.627263651023192,0.0010172392791262686
5snd,50,3D3,5s50d,45883.3849,0.0022,87,Ding2018.PRA.98.042505,2.5847245717215657,0.0010685526528221231
5snd,50,3D3,5s50d,45883.4374,0.0022,87,Ding2018.PRA.98.042505,2.5592044311423976,0.0010702789505303203
5snd,60,3D1,5s60d,45898.7367,0.0021,87,Ding2018.PRA.98.042505,2.730951682840626,0.001797204950940454
5snd,60,3D2,5s60d,45898.7521,0.0021,87,Ding2018.PRA.98.042505,2.7177676285646797,0.001798446454169126
5snd,60,3D2,5s60d,45898.8568,0.0022,87,Ding2018.PRA.98.042505,2.6278911425531746,0.001892969145356044
5snd,60,3D3,5s60d,45898.8618,0.0022,87,Ding2018.PRA.98.042505,2.623588455973433,0.0018933950734218372
5snd,60,3D1,5s60d,45898.9223,0.0022,87,Ding2018.PRA.98.042505,2.5714491070151695,0.0018985614887096305
5snd,60,3D3,5s60d,45898.9608,0.0022,87,Ding2018.PRA.98.042505,2.538195420197063,0.001901861453590412
5snd,97,3D1,5s97d,45919.9565,0.0022,87,Ding2018.PRA.98.042505,2.310667724656824,0.008510287970756607
5snd,97,1D2,5s97d,45919.9925,0.0022,87,Ding2018.PRA.98.042505,2.1711004998556263,0.008547974649897898
5snd,97,1D2,5s97d,45919.9946,0.0022,87,Ding2018.PRA.98.042505,2.162940016263704,0.008550181622990085
5snd,98,3D2,5s98d,45920.0501,0.0022,87,Ding2018.PRA.98.042505,2.946503576272036,0.008608854807633433
5snd,98,3D2,5s98d,45920.0544,0.0022,87,Ding2018.PRA.98.042505,2.9296727089974013,0.008613428657803048
5snd,98,3D3,5s98d,45920.0916,0.0022,87,Ding2018.PRA.98.042505,2.78369191688671,0.008653167456330981
5snd,98,3D3,5s98d,45920.0956,0.0022,87,Ding2018.PRA.98.042505,2.767954984607954,0.008657458637763963
