Series,n,Term,F,E_expt,E_expt_unc,DeltaE_Expt,DeltaE_Expt_unc,E_theor,DeltaE_theor,New
5sns,40,1S0,4.5,45850.8762,0.0021,16.35,0.08,45850.8702,16.22,TRUE
5sns,60,1S0,4.5,45898.1444,0.0022,7.28,0.09,45898.1421,7.26,TRUE
5sns,72,1S0,4.5,45909.0252,0.002,6.1,0.09,45909.024,6.1,TRUE
5sns,74,1S0,4.5,45910.323,0.0021,5.98,0.09,45910.3211,5.99,TRUE
5sns,76,1S0,4.5,45911.5148,0.002,5.91,0.08,45911.5127,5.89,TRUE
5sns,77,1S0,4.5,45912.0738,0.002,5.84,0.09,45912.0725,5.85,TRUE
5sns,78,1S0,4.5,45912.6114,0.002,,,45912.61,5.81,TRUE
5sns,82,1S0,4.5,45914.5606,0.0022,5.66,0.09,45914.5589,5.67,TRUE
5sns,86,1S0,4.5,45916.2336,0.0021,5.56,0.08,45916.2321,5.56,TRUE
5sns,90,1S0,4.5,45917.6802,0.0019,5.46,0.08,45917.6791,5.47,TRUE
5sns,94,1S0,4.5,45918.9402,0.0019,5.4,0.08,45918.9388,5.39,TRUE
5sns,98,1S0,4.5,45920.0438,0.0022,5.325,0.005,45920.0423,5.327,TRUE
5sns,40,3S1,3.5,45850.4974,0.0021,4.99,0.08,45850.496,5,TRUE
5sns,60,3S1,3.5,45898.0688,0.0021,5.02,0.08,45898.0668,5,TRUE
5sns,40,3S1,4.5,45850.4078,0.0021,2.31,0.08,45850.4061,2.31,TRUE
5sns,50,3S1,4.5,45881.7138,0.0022,1.88,0.09,45881.7119,1.89,TRUE
5sns,72,3S1,4.5,45908.8546,0.0021,0.99,0.09,45908.8528,0.97,TRUE
5sns,74,3S1,4.5,45910.1518,0.0022,0.85,0.09,45910.1516,0.91,TRUE
5sns,76,3S1,4.5,45911.346,0.0019,0.85,0.08,45911.3445,0.85,TRUE
5sns,77,3S1,4.5,45911.9068,0.0021,0.83,0.09,45911.9049,0.83,TRUE
5sns,78,3S1,4.5,45912.4444,0.0019,,,45912.4429,0.8,TRUE
5sns,82,3S1,4.5,45914.3958,0.0021,0.72,0.09,45914.3935,0.71,TRUE
5sns,86,3S1,4.5,45916.0696,0.0021,0.64,0.08,45916.0677,0.63,TRUE
5sns,90,3S1,4.5,45917.5172,0.0021,0.57,0.08,45917.5155,0.56,TRUE
5sns,94,3S1,4.5,45918.7774,0.0022,0.52,0.09,45918.7759,0.51,TRUE
5sns,98,3S1,4.5,45919.8816,0.0022,0.46302,0.00007,45919.88,0.46164,TRUE
5sns,30,3S1,5.5,45777.3637,0.002,,,45777.3621,,TRUE
5sns,31,3S1,5.5,45788.3644,0.0021,,,45788.3624,,TRUE
5sns,32,3S1,5.5,45798.2325,0.0022,,,45798.2302,,TRUE
5sns,33,3S1,5.5,45807.1179,0.0019,,,45807.1158,,TRUE
5sns,34,3S1,5.5,45815.1469,0.0021,,,45815.1452,,TRUE
5sns,35,3S1,5.5,45822.4253,0.0021,,,45822.4252,,TRUE
5sns,36,3S1,5.5,45829.0469,0.002,,,45829.046,,TRUE
5sns,37,3S1,5.5,45835.0865,0.0021,,,45835.0851,,TRUE
5sns,38,3S1,5.5,45840.6098,0.0014,,,45840.6085,,TRUE
5sns,39,3S1,5.5,45845.6759,0.0022,,,45845.6734,,TRUE
5sns,40,3S1,5.5,45850.3308,0.0015,,,45850.3291,,TRUE
5sns,42,3S1,5.5,45858.5807,0.0021,,,45858.5793,,TRUE
5sns,43,3S1,5.5,45862.2455,0.002,,,45862.2439,,TRUE
5sns,44,3S1,5.5,45865.6435,0.0021,,,45865.6413,,TRUE
5sns,45,3S1,5.5,45868.7988,0.0015,,,45868.7968,,TRUE
5sns,49,3S1,5.5,45879.414,0.0019,,,45879.4124,,TRUE
5sns,50,3S1,5.5,45881.651,0.0021,,,45881.6488,,TRUE
5sns,55,3S1,5.5,45890.9526,0.002,,,45890.9511,,TRUE
5sns,60,3S1,5.5,45897.9014,0.0019,,,45897.9,,TRUE
5sns,65,3S1,5.5,45903.2294,0.0019,,,45903.2272,,TRUE
5sns,72,3S1,5.5,45908.8216,0.0022,,,45908.8205,,TRUE
5sns,74,3S1,5.5,45910.1236,0.0022,,,45910.1213,,TRUE
5sns,76,3S1,5.5,45911.3178,0.0019,,,45911.3161,,TRUE
5sns,77,3S1,5.5,45911.879,0.0021,,,45911.8774,,TRUE
5sns,82,3S1,5.5,45914.3718,0.0022,,,45914.3699,,TRUE
5sns,86,3S1,5.5,45916.0482,0.0019,,,45916.0467,,TRUE
5sns,90,3S1,5.5,45917.4982,0.0019,,,45917.4967,,TRUE
5sns,94,3S1,5.5,45918.76,0.0021,,,45918.759,,TRUE
5sns,98,3S1,5.5,45919.8662,0.0022,,,45919.8646,,TRUE
5sns,99,3S1,5.5,45920.121,0.0022,,,45920.1196,,TRUE
