Date measured,689 nm calibration (avg.) [/cm],689 nm calibration (std.) [/cm],N_689,689 (literature) [/cm],689 (literature) (unc.) [/cm],Deviation [MHz],Deviation (std.) [MHz]
2017/09/07,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/07,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/07,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/08,14504.34,0.0002,100,14504.33551,0.000017,134.6068136,6.017470182
2017/09/08,14504.3396,0.0005,100,14504.33551,0.000017,122.6151153,14.9982844
2017/09/08,14504.3397,0.0004,100,14504.33551,0.000017,125.6130399,12.00252344
2017/09/11,14504.3394,0.0005,100,14504.33551,0.000017,116.6192662,14.9982844
2017/09/11,14504.3394,0.0005,100,14504.33551,0.000017,116.6192662,14.9982844
2017/09/11,14504.3394,0.0005,100,14504.33551,0.000017,116.6192662,14.9982844
2017/09/11,14504.3395,0.0005,100,14504.33551,0.000017,119.6171907,14.9982844
2017/09/11,14504.3397,0.0005,100,14504.33551,0.000017,125.6130399,14.9982844
2017/09/11,14504.3394,0.0005,100,14504.33551,0.000017,116.6192662,14.9982844
2017/09/11,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/11,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/12,14504.3393,0.0005,100,14504.33551,0.000017,113.6213415,14.9982844
2017/09/12,14504.3392,0.0004,100,14504.33551,0.000017,110.623417,12.00252344
2017/09/12,14504.3393,0.0005,100,14504.33551,0.000017,113.6213415,14.9982844
2017/09/12,14504.3398,0.0004,100,14504.33551,0.000017,128.6109645,12.00252344
2017/09/12,14504.3398,0.0004,100,14504.33551,0.000017,128.6109645,12.00252344
2017/09/12,14504.3398,0.0004,100,14504.33551,0.000017,128.6109645,12.00252344
2017/09/12,14504.3398,0.0004,100,14504.33551,0.000017,128.6109645,12.00252344
2017/09/13,14504.3398,0.0004,100,14504.33551,0.000017,128.6109645,12.00252344
2017/09/13,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/13,14504.3397,0.0004,100,14504.33551,0.000017,125.6130399,12.00252344
2017/09/13,14504.3399,0.0003,100,14504.33551,0.000017,131.6088891,9.00820217
2017/09/13,14504.3398,0.0004,100,14504.33551,0.000017,128.6109645,12.00252344
