label,y,loc,color,y_adjusted
$\bf{5s^2{}^1S_0}$,None,1,green,0
$\bf{5p{}^1P_1}$,21698.4,2,blue,21698.482
$\bf{4d{}^1D_2}$,20149.7,3,black,20149.7
$\bf{6s^1S_0}$,30591.8,1,black,30591.8
$\bf{6p^1P_1}$,34098.4,2,black,34098.44
$\bf{6s^3S_1}$,29038.8,4,black,29038.795
None,14317.52,5,red,12317.52
None,14504.351,5,red,14504.351
$\bf{5p{}^3P_j}$,14898.56,5,red,16898.56
$\bf{4d^3D_j}$,18319.267,6,black,20319.267
None,18218.795,6,black,18218.795
None,18159.056,6,black,16159.056
$\bf{(5p^2)^3P_2}$,35674.637,6.5,darkgreen,35674.637
