imagevcoAtom,sfiIntegral,wavemeterAtom,Timestamp,GHz_Synth,UV_Power,Spec_Power,DigiLock_PID1_locked,AI3,AI4,AI5,AI6,AI7,numberAtom,tempXAtom,tempYAtom
1761.6,1,15665.413,2019.01.17-15:33:09,1761.6,0.945306396484375,0.3684326171875,4.9488525390625,0.005096435546875,0.000439453125,0.00030517578125,0.000299072265625,0.00018310546875,524889.1,1.539413e-05,2.842688e-06
1761.625,1,15665.413,2019.01.17-15:33:20,1761.625,0.936468505859375,0.368402099609375,4.94896850585937,0.0050048828125,0.000408935546875,0.000335693359375,0.000164794921875,0.000286865234375,554727.4,1.574507e-05,2.880029e-06
1761.65,3,15665.414,2019.01.17-15:33:30,1761.65,0.942376708984375,0.368499755859375,4.948828125,0.005096435546875,0.000469970703125,0.000274658203125,0.000244140625,0.000244140625,518768.3,1.415252e-05,2.916492e-06
1761.675,1,15665.414,2019.01.17-15:33:40,1761.675,0.9451171875,0.367083740234375,4.94885864257813,0.00509033203125,0.000518798828125,0.000335693359375,0.00025634765625,0.00020751953125,547602.3,1.295969e-05,2.848677e-06
1761.7,3,15665.413,2019.01.17-15:33:50,1761.7,0.940765380859375,0.366510009765625,4.948974609375,0.005078125,0.000335693359375,0.000238037109375,0.00025634765625,0.000244140625,518730.7,1.745951e-05,2.919958e-06
1761.725,1,15665.413,2019.01.17-15:34:00,1761.725,0.946417236328125,0.36622314453125,4.94892578125,0.004949951171875,0.000445556640625,0.000274658203125,0.000299072265625,0.000323486328125,571518,1.015351e-05,2.84461e-06
1761.75,0,15665.413,2019.01.17-15:34:10,1761.75,0.95450439453125,0.366705322265625,4.9489013671875,0.0050048828125,0.000408935546875,0.00045166015625,0.0001953125,0.00025634765625,545686.8,1.197634e-05,2.873999e-06
1761.775,1,15665.413,2019.01.17-15:34:20,1761.775,0.94747314453125,0.3689453125,4.94900512695313,0.00506591796875,0.000457763671875,0.00035400390625,0.00032958984375,0.000238037109375,502677.7,1.563578e-05,2.870081e-06
1761.8,2,15665.413,2019.01.17-15:34:30,1761.8,0.95323486328125,0.368450927734375,4.94890747070312,0.005047607421875,0.000506591796875,0.000341796875,0.0003173828125,0.00030517578125,507968.9,1.804996e-05,2.907827e-06
1761.825,5,15665.414,2019.01.17-15:34:40,1761.825,0.943426513671875,0.368426513671875,4.94893188476563,0.00504150390625,0.0003662109375,0.000286865234375,0.00025634765625,0.000250244140625,538083.2,1.10418e-05,2.852864e-06
1761.85,3,15665.414,2019.01.17-15:34:50,1761.85,0.945880126953125,0.36734619140625,4.94889526367187,0.005010986328125,0.000445556640625,0.0002685546875,0.000244140625,0.000311279296875,574189.3,1.407764e-05,2.817482e-06
