# polarized
#         n    v=0                      v=1                       v=2                        v=3
          31   1.0000000000000000       0.24574643398714913       0.64043955610302528        8.4101281119770471E-002
          33   1.0000000000000000       0.47884895146032103       0.54750450280471652        6.4870698449337330E-003
          34   1.0000000000000000       0.54558726315433881       0.44417319411328704        5.4171207620664893E-002
          35   1.0000000000000000       0.59893692835595302       0.31362798403725112       0.10739558468988297     
          37   1.0000000000000000       0.68526052460280862       0.19697949400862499        2.2723295714835327E-002
          40   1.0000000000000000       0.78874898723356390       0.11045211712564625        4.0435226352912457E-003
          41   1.0000000000000000       0.81787815042154233        8.6110913029344802E-002   3.2324490085709440E-003

# unpolarized
#         n    v=0                      v=1                       v=2                        v=3
          31   1.0000000000000000       0.38483113734689339       0.70938544041942553       0.22957521331192204     
          33   1.0000000000000000       0.65550547886698984       0.65194564111973996        6.4724287152723464E-002
          34   1.0000000000000000       0.72482277732600264       0.60880393658200183        3.9440019082895364E-002
          35   1.0000000000000000       0.77691486127571430       0.48573365519259842        7.7645110693007849E-002
          37   1.0000000000000000       0.85433125446411218       0.34332888999845157        3.0187723127989619E-002
          40   1.0000000000000000       0.93692641271874799       0.21190061639118127        1.7620739987161228E-002
          41   1.0000000000000000       0.95868811053747383       0.17218588399750417        1.4579122282596564E-002
