imagevcoAtom,sfiIntegral,wavemeterAtom,Timestamp,GHz_Synth,UV_Power,Spec_Power,DigiLock_PID1_locked,AI3,AI4,AI5,AI6,AI7,numberAtom,tempXAtom,tempYAtom
1221.65,5,0,2019.01.21-04:11:26,1221.65,0.802117919921875,0.419500732421875,4.94888916015625,0.005078125,0.000421142578125,0.000341796875,0.000225830078125,0.000213623046875,229137.6,8.483791e-07,8.220036e-07
1221.6,16,0,2019.01.21-04:11:59,1221.6,0.828912353515625,0.419488525390625,4.94902954101562,0.005059814453125,0.000518798828125,0.000445556640625,0.000286865234375,0.00030517578125,227033.4,8.228276e-07,8.103477e-07
1221.55,10,0,2019.01.21-04:12:31,1221.55,0.80849609375,0.420050048828125,4.94903564453125,0.005047607421875,0.000323486328125,0.000299072265625,0.000201416015625,0.000262451171875,230892.9,7.835176e-07,7.19205e-07
1221.5,8,0,2019.01.21-04:13:04,1221.5,0.821539306640625,0.419317626953125,4.94898071289063,0.005047607421875,0.0004638671875,0.00032958984375,0.00023193359375,0.000286865234375,226477.5,7.881344e-07,7.728729e-07
1221.45,14,0,2019.01.21-04:13:36,1221.45,0.803704833984375,0.418878173828125,4.94898071289063,0.00504150390625,0.000457763671875,0.000439453125,0.000238037109375,0.00028076171875,232677.2,7.739918e-07,7.266211e-07
1221.4,4,0,2019.01.21-04:14:09,1221.4,0.808953857421875,0.417108154296875,4.94908447265625,0.0050048828125,0.000347900390625,0.000311279296875,0.000250244140625,0.00028076171875,213373.5,8.141893e-07,7.542775e-07
1221.35,14,0,2019.01.21-04:14:41,1221.35,0.8199462890625,0.419207763671875,4.94903564453125,0.005072021484375,0.000439453125,0.000439453125,0.000262451171875,0.000201416015625,244230.3,7.45822e-07,7.12605e-07
1221.3,12,0,2019.01.21-04:15:14,1221.3,0.81695556640625,0.4184814453125,4.94893188476563,0.005035400390625,0.000384521484375,0.000335693359375,0.0003173828125,0.00032958984375,233977.6,7.740478e-07,7.460303e-07
1221.25,8,0,2019.01.21-04:15:47,1221.25,0.828546142578125,0.417938232421875,4.9489501953125,0.00506591796875,0.00045166015625,0.000384521484375,0.000244140625,0.000311279296875,222334,7.86266e-07,7.494187e-07
1221.2,7,0,2019.01.21-04:16:19,1221.2,0.81832275390625,0.419525146484375,4.94894409179688,0.00509033203125,0.000384521484375,0.000341796875,0.00030517578125,0.000238037109375,232710.5,7.665338e-07,7.253011e-07
1221.15,13,0,2019.01.21-04:16:52,1221.15,0.8158935546875,0.421173095703125,4.9490234375,0.005059814453125,0.000469970703125,0.000372314453125,0.00028076171875,0.000238037109375,217494,7.940679e-07,7.3561e-07
1221.1,22,0,2019.01.21-04:17:24,1221.1,0.820184326171875,0.41925048828125,4.9490478515625,0.005181884765625,0.000531005859375,0.0003662109375,0.000274658203125,0.00025634765625,240397.8,7.839827e-07,8.135328e-07
1221.05,21,0,2019.01.21-04:17:57,1221.05,0.81964111328125,0.419439697265625,4.94901733398437,0.00513916015625,0.000518798828125,0.000372314453125,0.00025634765625,0.00025634765625,219956.5,7.669069e-07,7.480387e-07
1221,39,0,2019.01.21-04:18:30,1221,0.822265625,0.420263671875,4.94893798828125,0.005029296875,0.000457763671875,0.000384521484375,0.00028076171875,0.000274658203125,230045.3,7.41854e-07,7.475337e-07
1220.95,100,0,2019.01.21-04:19:03,1220.95,0.8025634765625,0.418145751953125,4.94903564453125,0.005145263671875,0.000469970703125,0.000408935546875,0.0001953125,0.00042724609375,232100.8,8.162938e-07,7.84719e-07
1220.9,85,0,2019.01.21-04:19:35,1220.9,0.8138916015625,0.418212890625,4.94902954101562,0.005126953125,0.000445556640625,0.000286865234375,0.0003173828125,0.00023193359375,201772.1,8.255553e-07,8.156884e-07
1220.85,53,0,2019.01.21-04:20:07,1220.85,0.807171630859375,0.41873779296875,4.94901733398437,0.004937744140625,0.000439453125,0.000286865234375,0.000238037109375,0.00020751953125,205816.3,8.409957e-07,8.235477e-07
1220.8,35,0,2019.01.21-04:20:40,1220.8,0.804461669921875,0.41773681640625,4.94902954101562,0.00499267578125,0.00029296875,0.000360107421875,0.000225830078125,0.00029296875,219391.2,7.702729e-07,7.615754e-07
1220.75,8,0,2019.01.21-04:21:13,1220.75,0.825201416015625,0.41829833984375,4.94898071289063,0.004986572265625,0.000341796875,0.000335693359375,0.000323486328125,0.00023193359375,247380.5,7.591034e-07,7.436721e-07
1220.7,16,0,2019.01.21-04:21:46,1220.7,0.815338134765625,0.41744384765625,4.94896850585937,0.00499267578125,0.000537109375,0.00035400390625,0.0002685546875,0.00025634765625,218924.3,7.870141e-07,7.277047e-07
1220.65,9,0,2019.01.21-04:22:18,1220.65,0.824371337890625,0.418817138671875,4.94904174804688,0.00498046875,0.00035400390625,0.00023193359375,0.0002197265625,0.000335693359375,195490,8.37261e-07,7.790044e-07
1220.6,15,0,2019.01.21-04:22:50,1220.6,0.82254638671875,0.417901611328125,4.94901733398437,0.00509033203125,0.000518798828125,0.000469970703125,0.000323486328125,0.00020751953125,221355.4,7.462072e-07,7.034586e-07
1220.55,11,0,2019.01.21-04:23:23,1220.55,0.827081298828125,0.4181640625,4.94901123046875,0.00501708984375,0.000421142578125,0.0002685546875,0.000152587890625,0.000244140625,223774.4,7.967334e-07,8.012741e-07
1220.5,15,0,2019.01.21-04:23:56,1220.5,0.801690673828125,0.4177490234375,4.94908447265625,0.005047607421875,0.000360107421875,0.00028076171875,0.0002197265625,0.0002685546875,205875.5,7.734512e-07,7.714563e-07
1220.45,11,0,2019.01.21-04:24:28,1220.45,0.816680908203125,0.417694091796875,4.94902954101562,0.0051025390625,0.00048828125,0.00037841796875,0.00025634765625,0.000299072265625,231964,7.911251e-07,7.789879e-07
1220.4,9,0,2019.01.21-04:25:01,1220.4,0.8285888671875,0.417486572265625,4.94899291992188,0.005047607421875,0.000469970703125,0.000262451171875,0.000262451171875,0.0002685546875,241695.4,7.722346e-07,7.358065e-07
1220.35,18,0,2019.01.21-04:25:33,1220.35,0.824249267578125,0.417889404296875,4.94896240234375,0.00499267578125,0.00054931640625,0.000286865234375,0.00018310546875,0.0002685546875,200381,7.993844e-07,7.373872e-07
1220.3,10,0,2019.01.21-04:26:06,1220.3,0.81932373046875,0.418194580078125,4.949072265625,0.0050537109375,0.000396728515625,0.000299072265625,0.000286865234375,0.000262451171875,213665.2,8.094614e-07,7.927591e-07
1220.25,10,0,2019.01.21-04:26:38,1220.25,0.8147705078125,0.41849365234375,4.94904174804688,0.005010986328125,0.000323486328125,0.000262451171875,0.00023193359375,0.00028076171875,218544.5,7.738406e-07,7.502293e-07
1220.2,5,0,2019.01.21-04:27:11,1220.2,0.807489013671875,0.417730712890625,4.94912109375,0.00499267578125,0.000457763671875,0.00028076171875,0.00028076171875,0.00035400390625,210071.5,7.697869e-07,7.453266e-07
1220.15,6,0,2019.01.21-04:27:43,1220.15,0.8203125,0.417694091796875,4.94891357421875,0.005096435546875,0.0005126953125,0.000347900390625,0.000311279296875,0.00029296875,235235.6,7.840969e-07,8.01439e-07
1220.1,15,0,2019.01.21-04:28:16,1220.1,0.823931884765625,0.41710205078125,4.9490234375,0.005023193359375,0.000506591796875,0.00030517578125,0.000384521484375,0.000323486328125,240823.2,8.033954e-07,8.12942e-07
1220.05,12,0,2019.01.21-04:28:49,1220.05,0.828826904296875,0.418328857421875,4.9490478515625,0.005047607421875,0.00057373046875,0.000335693359375,0.0002197265625,0.00032958984375,213360,7.753849e-07,7.437886e-07
1220,3,0,2019.01.21-04:29:21,1220,0.811505126953125,0.417919921875,4.9490478515625,0.005059814453125,0.000439453125,0.000372314453125,0.000177001953125,0.00028076171875,203299.8,7.699752e-07,7.026477e-07
1219.95,3,0,2019.01.21-04:29:54,1219.95,0.819976806640625,0.41617431640625,4.949072265625,0.005120849609375,0.000555419921875,0.000439453125,0.0003173828125,0.000323486328125,210957.6,7.702801e-07,7.169165e-07
1219.9,7,0,2019.01.21-04:30:27,1219.9,0.829290771484375,0.41741943359375,4.94901733398437,0.00513916015625,0.000421142578125,0.000384521484375,0.000335693359375,0.000299072265625,212954.6,7.443313e-07,6.646066e-07
1219.85,16,0,2019.01.21-04:30:59,1219.85,0.82625732421875,0.418402099609375,4.94901123046875,0.00501708984375,0.0004150390625,0.000262451171875,0.000189208984375,0.000244140625,244879.2,8.504668e-07,8.172811e-07
1219.8,8,0,2019.01.21-04:31:32,1219.8,0.822076416015625,0.41827392578125,4.94899291992188,0.005029296875,0.00045166015625,0.00030517578125,0.000238037109375,0.000238037109375,227013.1,7.651779e-07,7.503493e-07
1219.75,21,0,2019.01.21-04:32:05,1219.75,0.806719970703125,0.417425537109375,4.9490234375,0.00517578125,0.000543212890625,0.000335693359375,0.000274658203125,0.000262451171875,208942.9,7.857007e-07,7.524348e-07
1219.7,6,0,2019.01.21-04:32:37,1219.7,0.822760009765625,0.418511962890625,4.949072265625,0.0051513671875,0.0005615234375,0.000372314453125,0.000347900390625,0.0004150390625,248675.6,7.420192e-07,7.41349e-07
1219.65,7,0,2019.01.21-04:33:10,1219.65,0.827288818359375,0.417498779296875,4.949072265625,0.004998779296875,0.000482177734375,0.0003662109375,0.000238037109375,0.000238037109375,218461,7.875202e-07,7.333165e-07
1219.6,7,0,2019.01.21-04:33:43,1219.6,0.820068359375,0.41673583984375,4.94907836914062,0.005059814453125,0.00050048828125,0.00035400390625,0.00023193359375,0.000372314453125,225774.7,7.815816e-07,7.818706e-07
1219.55,14,0,2019.01.21-04:34:16,1219.55,0.828125,0.41611328125,4.94907836914062,0.005133056640625,0.00052490234375,0.00037841796875,0.00030517578125,0.0002685546875,221187.9,7.56514e-07,7.905003e-07
1219.5,20,0,2019.01.21-04:34:48,1219.5,0.80462646484375,0.418585205078125,4.94899291992188,0.00504150390625,0.00050048828125,0.000311279296875,0.000274658203125,0.000213623046875,224647.2,8.046225e-07,7.65403e-07
1219.45,9,0,2019.01.21-04:35:21,1219.45,0.822674560546875,0.41622314453125,4.94900512695313,0.00513916015625,0.000543212890625,0.00032958984375,0.00023193359375,0.0001953125,215907.2,8.130842e-07,7.783601e-07
1219.4,7,0,2019.01.21-04:35:53,1219.4,0.820623779296875,0.417755126953125,4.94900512695313,0.00513916015625,0.000390625,0.000384521484375,0.000286865234375,0.000262451171875,234772.3,8.064613e-07,7.67019e-07
1219.35,9,0,2019.01.21-04:36:26,1219.35,0.82025146484375,0.416448974609375,4.94898681640625,0.00496826171875,0.0004150390625,0.000299072265625,0.000250244140625,0.000250244140625,214678.6,7.984586e-07,7.444783e-07
1219.3,7,0,2019.01.21-04:36:59,1219.3,0.810430908203125,0.4171875,4.94906005859375,0.00511474609375,0.00052490234375,0.000421142578125,0.00025634765625,0.00025634765625,209972,8.320728e-07,7.66864e-07
1219.25,10,0,2019.01.21-04:37:31,1219.25,0.831866455078125,0.416302490234375,4.94901733398437,0.005035400390625,0.000555419921875,0.00042724609375,0.000311279296875,0.0004150390625,239395.8,7.672172e-07,7.745245e-07
1219.2,25,0,2019.01.21-04:38:04,1219.2,0.83016357421875,0.41666259765625,4.94905395507813,0.005023193359375,0.000360107421875,0.00035400390625,0.00028076171875,0.0003173828125,212366.1,8.106429e-07,7.37715e-07
1219.15,27,0,2019.01.21-04:38:36,1219.15,0.812078857421875,0.416705322265625,4.94904174804688,0.00506591796875,0.00042724609375,0.00035400390625,0.000244140625,0.000384521484375,236700.1,8.182151e-07,8.228545e-07
1219.1,19,0,2019.01.21-04:39:09,1219.1,0.80865478515625,0.418023681640625,4.94898681640625,0.005084228515625,0.000469970703125,0.00037841796875,0.00023193359375,0.00028076171875,208883.2,8.365824e-07,7.39754e-07
1219.05,46,0,2019.01.21-04:39:42,1219.05,0.8342041015625,0.41683349609375,4.94902954101562,0.004974365234375,0.000384521484375,0.000262451171875,0.000299072265625,0.00023193359375,208646.9,7.891576e-07,7.42477e-07
1219,193,0,2019.01.21-04:40:14,1219,0.825189208984375,0.416802978515625,4.94898681640625,0.005096435546875,0.000433349609375,0.0003173828125,0.000262451171875,0.00025634765625,237421.5,7.923592e-07,7.930909e-07
