imagevcoAtom,sfiIntegral,wavemeterBack,wavemeterAtom,Timestamp,GHz_Synth,UV_Power,Spec_Power,DigiLock_PID1_locked,AI3,AI4,AI5,AI6,AI7,numberAtom,tempXAtom,tempYAtom
1626,1144,15673.017,15673.017,2019.04.15-07:30:29,1626,1.62715454101563,0.467584228515625,4.94954833984375,0.005120849609375,0.000408935546875,0.000323486328125,0.00025634765625,0.0003173828125,284688.8,1.169067e-06,9.842712e-07
1625.95,1239,15673.017,15673.017,2019.04.15-07:31:07,1625.95,1.676513671875,0.465423583984375,4.94951782226562,0.005169677734375,0.000482177734375,0.000396728515625,0.000244140625,0.000286865234375,298157.5,1.14941e-06,9.536981e-07
1625.9,963,15673.016,15673.016,2019.04.15-07:31:42,1625.9,1.66688842773438,0.465484619140625,4.9494140625,0.005181884765625,0.000518798828125,0.000518798828125,0.00045166015625,0.000384521484375,278164,1.07561e-06,9.651045e-07
1625.85,678,15673.017,15673.017,2019.04.15-07:32:18,1625.85,1.6390625,0.46669921875,4.94952392578125,0.005224609375,0.0003173828125,0.000335693359375,0.000238037109375,0.000164794921875,295487.1,1.084967e-06,1.006279e-06
1625.8,531,15673.017,15673.017,2019.04.15-07:32:53,1625.8,1.670849609375,0.46612548828125,4.94947509765625,0.005206298828125,0.000372314453125,0.000286865234375,0.0002197265625,0.000323486328125,296340.5,1.112297e-06,9.155488e-07
1625.75,444,15673.017,15673.017,2019.04.15-07:33:29,1625.75,1.67312622070313,0.4664306640625,4.94945068359375,0.005035400390625,0.00032958984375,0.000372314453125,0.0002685546875,0.0001708984375,283573.2,1.140501e-06,9.632149e-07
1625.7,300,15673.016,15673.016,2019.04.15-07:34:05,1625.7,1.63909912109375,0.4665283203125,4.94951782226562,0.005078125,0.000286865234375,0.0003662109375,0.00035400390625,0.0003173828125,289761.8,1.196773e-06,9.682981e-07
1625.65,238,15673.016,15673.016,2019.04.15-07:34:40,1625.65,1.67599487304688,0.46590576171875,4.94942626953125,0.005206298828125,0.000701904296875,0.00045166015625,0.0003173828125,0.000152587890625,286449.7,1.16347e-06,9.594472e-07
1625.6,227,15673.017,15673.017,2019.04.15-07:35:16,1625.6,1.65616455078125,0.46591796875,4.94954833984375,0.0052490234375,0.000537109375,0.000469970703125,0.0004150390625,0.000347900390625,285642,1.103081e-06,8.950164e-07
1625.55,229,15673.016,15673.016,2019.04.15-07:35:52,1625.55,1.66181640625,0.466888427734375,4.94948120117188,0.0053466796875,0.00068359375,0.000457763671875,0.00045166015625,0.000335693359375,307175.6,1.098991e-06,9.388558e-07
1625.5,162,15673.016,15673.016,2019.04.15-07:36:27,1625.5,1.66968383789062,0.467333984375,4.9494384765625,0.00518798828125,0.000518798828125,0.0003662109375,0.00028076171875,0.000360107421875,316290.4,1.178158e-06,9.353959e-07
