# detuning (MHz)             polarized                 unpolarized
  -8.2980300048054758        1.2915827661052190E-002   2.7572596611942840E-003
  -8.2952635337253611        1.2964832231821438E-002   2.7676018431762161E-003
  -8.2924970626452446        1.3014126383226283E-002   2.7780049177965026E-003
  -8.2897305915651298        1.3063712415769806E-002   2.7884693680871181E-003
  -8.2869641204850151        1.3113592652813543E-002   2.7989956818751296E-003
  -8.2841976494049003        1.3163769440849498E-002   2.8095843518397136E-003
  -8.2814311783247838        1.3214245149775752E-002   2.8202358755699828E-003
  -8.2786647072446691        1.3265022173176677E-002   2.8309507556236280E-003
  -8.2758982361645543        1.3316102928606617E-002   2.8417294995864172E-003
  -8.2731317650844396        1.3367489857876877E-002   2.8525726201323997E-003
  -8.2703652940043231        1.3419185427348206E-002   2.8634806350851085E-003
  -8.2675988229242083        1.3471192128225670E-002   2.8744540674794576E-003
  -8.2648323518440936        1.3523512476859212E-002   2.8854934456246780E-003
  -8.2620658807639789        1.3576149015047254E-002   2.8965993031679744E-003
  -8.2592994096838623        1.3629104310345194E-002   2.9077721791591865E-003
  -8.2565329386037476        1.3682380956378106E-002   2.9190126181163011E-003
  -8.2537664675236329        1.3735981573157989E-002   2.9303211700919675E-003
  -8.2509999964435181        1.3789908807405075E-002   2.9416983907408229E-003
  -8.2482335253634016        1.3844165332874159E-002   2.9531448413879068E-003
  -8.2454670542832869        1.3898753850685433E-002   2.9646610890979594E-003
  -8.2427005832031721        1.3953677089660011E-002   2.9762477067457704E-003
  -8.2399341121230574        1.4008937806660113E-002   2.9879052730874449E-003
  -8.2371676410429409        1.4064538786934406E-002   2.9996343728328143E-003
  -8.2344011699628261        1.4120482844467751E-002   3.0114355967186947E-003
  -8.2316346988827114        1.4176772822336909E-002   3.0233095415834474E-003
  -8.2288682278025966        1.4233411593070405E-002   3.0352568104423778E-003
  -8.2261017567224801        1.4290402059013885E-002   3.0472780125643459E-003
  -8.2233352856423654        1.4347747152701169E-002   3.0593737635494543E-003
  -8.2205688145622506        1.4405449837230086E-002   3.0715446854078475E-003
  -8.2178023434821359        1.4463513106644135E-002   3.0837914066397048E-003
  -8.2150358724020194        1.4521939986319314E-002   3.0961145623162652E-003
  -8.2122694013219046        1.4580733533357195E-002   3.1085147941622149E-003
  -8.2095029302417899        1.4639896836983151E-002   3.1209927506391072E-003
  -8.2067364591616752        1.4699433018950587E-002   3.1335490870301264E-003
  -8.2039699880815604        1.4759345233951256E-002   3.1461844655259960E-003
  -8.2012035170014439        1.4819636670031291E-002   3.1588995553122057E-003
  -8.1984370459213292        1.4880310549013599E-002   3.1716950326574761E-003
  -8.1956705748412144        1.4941370126926432E-002   3.1845715810036204E-003
  -8.1929041037610997        1.5002818694438393E-002   3.1975298910565894E-003
  -8.1901376326809832        1.5064659577299220E-002   3.2105706608789573E-003
  -8.1873711616008684        1.5126896136788328E-002   3.2236945959837771E-003
  -8.1846046905207537        1.5189531770168799E-002   3.2369024094297955E-003
  -8.1818382194406389        1.5252569911148622E-002   3.2501948219180636E-003
  -8.1790717483605224        1.5316014030349290E-002   3.2635725618900841E-003
  -8.1763052772804077        1.5379867635780463E-002   3.2770363656272929E-003
  -8.1735388062002929        1.5444134273322332E-002   3.2905869773521474E-003
  -8.1707723351201782        1.5508817527215236E-002   3.3042251493306169E-003
  -8.1680058640400617        1.5573921020556424E-002   3.3179516419763778E-003
  -8.1652393929599469        1.5639448415804239E-002   3.3317672239563307E-003
  -8.1624729218798322        1.5705403415290170E-002   3.3456726722979773E-003
  -8.1597064507997175        1.5771789761738826E-002   3.3596687724982395E-003
  -8.1569399797196009        1.5838611238795069E-002   3.3737563186340166E-003
  -8.1541735086394862        1.5905871671559432E-002   3.3879361134742780E-003
  -8.1514070375593715        1.5973574927132674E-002   3.4022089685941449E-003
  -8.1486405664792567        1.6041724915167015E-002   3.4165757044904085E-003
  -8.1458740953991402        1.6110325588426982E-002   3.4310371506989647E-003
  -8.1431076243190255        1.6179380943358308E-002   3.4455941459140453E-003
  -8.1403411532389107        1.6248895020665746E-002   3.4602475381092287E-003
  -8.1375746821587960        1.6318871905899958E-002   3.4749981846603733E-003
  -8.1348082110786795        1.6389315730052877E-002   3.4898469524703708E-003
  -8.1320417399985647        1.6460230670162827E-002   3.5047947180958496E-003
  -8.1292752689184500        1.6531620949928938E-002   3.5198423678759216E-003
  -8.1265087978383352        1.6603490840334554E-002   3.5349907980627760E-003
  -8.1237423267582187        1.6675844660281429E-002   3.5502409149544322E-003
  -8.1209758556781040        1.6748686777232284E-002   3.5655936350294398E-003
  -8.1182093845979892        1.6822021607864852E-002   3.5810498850838259E-003
  -8.1154429135178745        1.6895853618735371E-002   3.5966106023700792E-003
  -8.1126764424377580        1.6970187326952598E-002   3.6122767347382886E-003
  -8.1099099713576432        1.7045027300862388E-002   3.6280492407796045E-003
  -8.1071435002775285        1.7120378160743313E-002   3.6439290899718440E-003
  -8.1043770291974138        1.7196244579512996E-002   3.6599172628275197E-003
  -8.1016105581172972        1.7272631283445715E-002   3.6760147510440551E-003
  -8.0988440870371825        1.7349543052901133E-002   3.6922225576564815E-003
  -8.0960776159570678        1.7426984723065097E-002   3.7085416971925581E-003
  -8.0933111448769530        1.7504961184701968E-002   3.7249731958303098E-003
  -8.0905446737968365        1.7583477384918930E-002   3.7415180915581422E-003
  -8.0877782027167218        1.7662538327942096E-002   3.7581774343373566E-003
  -8.0850117316366070        1.7742149075906155E-002   3.7749522862675316E-003
  -8.0822452605564923        1.7822314749655576E-002   3.7918437217543035E-003
  -8.0794787894763758        1.7903040529559437E-002   3.8088528276800249E-003
  -8.0767123183962610        1.7984331656338687E-002   3.8259807035769759E-003
  -8.0739458473161463        1.8066193431907719E-002   3.8432284618036489E-003
  -8.0711793762360315        1.8148631220228532E-002   3.8605972277236072E-003
  -8.0684129051559150        1.8231650448179992E-002   3.8780881398874385E-003
  -8.0656464340758003        1.8315256606439730E-002   3.8957023502175624E-003
  -8.0628799629956855        1.8399455250381658E-002   3.9134410241960550E-003
  -8.0601134919155708        1.8484252000987696E-002   3.9313053410556589E-003
  -8.0573470208354543        1.8569652545774366E-002   3.9492964939737271E-003
  -8.0545805497553395        1.8655662639734606E-002   3.9674156902694572E-003
  -8.0518140786752248        1.8742288106295388E-002   3.9856641516044511E-003
  -8.0490476075951101        1.8829534838290505E-002   4.0040431141863519E-003
  -8.0462811365149935        1.8917408798950101E-002   4.0225538289760483E-003
  -8.0435146654348788        1.9005916022906157E-002   4.0411975618982361E-003
  -8.0407481943547641        1.9095062617214976E-002   4.0599755940554406E-003
  -8.0379817232746493        1.9184854762396002E-002   4.0788892219456091E-003
  -8.0352152521945328        1.9275298713489417E-002   4.0979397576834126E-003
  -8.0324487811144181        1.9366400801129200E-002   4.1171285292250590E-003
  -8.0296823100343033        1.9458167432636564E-002   4.1364568805970980E-003
  -8.0269158389541886        1.9550605093129735E-002   4.1559261721288614E-003
